game,numPlayers,ai,run,move,player,choices,choice,time
Agram,3,PRR,1,1,1,6,3,10770
Agram,3,PRR,1,2,2,6,3,0
Agram,3,PRR,1,3,3,2,1,0
Agram,3,PRR,1,4,3,5,4,0
Agram,3,PRR,1,5,1,5,1,6505
Agram,3,PRR,1,6,2,3,3,0
Agram,3,PRR,1,7,3,4,2,0
Agram,3,PRR,1,8,1,1,1,0
Agram,3,PRR,1,9,2,1,1,0
Agram,3,PRR,1,10,3,3,2,0
Agram,3,PRR,1,11,1,3,1,2317
Agram,3,PRR,1,12,2,2,1,0
Agram,3,PRR,1,13,2,2,1,0
Agram,3,PRR,1,14,3,2,2,0
Agram,3,PRR,1,15,1,1,1,0
Agram,3,PRR,1,16,1,1,1,0
Agram,3,PRR,1,17,2,1,1,0
Agram,3,PRR,1,18,3,1,1,0
Agram,3,PRR,2,1,1,6,1,10458
Agram,3,PRR,2,2,2,6,1,0
Agram,3,PRR,2,3,3,2,1,0
Agram,3,PRR,2,4,3,5,4,0
Agram,3,PRR,2,5,1,1,1,0
Agram,3,PRR,2,6,2,5,5,0
Agram,3,PRR,2,7,1,4,3,5047
Agram,3,PRR,2,8,2,3,3,0
Agram,3,PRR,2,9,3,1,1,0
Agram,3,PRR,2,10,2,3,1,0
Agram,3,PRR,2,11,3,3,2,0
Agram,3,PRR,2,12,1,3,1,2182
Agram,3,PRR,2,13,2,2,2,0
Agram,3,PRR,2,14,3,1,1,0
Agram,3,PRR,2,15,1,2,2,833
Agram,3,PRR,2,16,1,1,1,0
Agram,3,PRR,2,17,2,1,1,0
Agram,3,PRR,2,18,3,1,1,0
Agram,3,PRR,3,1,1,6,4,12403
Agram,3,PRR,3,2,2,1,1,0
Agram,3,PRR,3,3,3,2,2,0
Agram,3,PRR,3,4,3,5,3,0
Agram,3,PRR,3,5,1,3,2,5049
Agram,3,PRR,3,6,2,1,1,0
Agram,3,PRR,3,7,1,4,4,4811
Agram,3,PRR,3,8,2,4,3,0
Agram,3,PRR,3,9,3,1,1,0
Agram,3,PRR,3,10,3,3,1,0
Agram,3,PRR,3,11,1,3,3,2683
Agram,3,PRR,3,12,2,3,1,0
Agram,3,PRR,3,13,3,2,2,0
Agram,3,PRR,3,14,1,1,1,0
Agram,3,PRR,3,15,2,2,1,0
Agram,3,PRR,3,16,1,1,1,0
Agram,3,PRR,3,17,2,1,1,0
Agram,3,PRR,3,18,3,1,1,0
Agram,3,PRR,4,1,1,6,5,12553
Agram,3,PRR,4,2,2,2,1,0
Agram,3,PRR,4,3,3,2,2,0
Agram,3,PRR,4,4,3,5,1,0
Agram,3,PRR,4,5,1,1,1,0
Agram,3,PRR,4,6,2,1,1,0
Agram,3,PRR,4,7,1,4,2,5214
Agram,3,PRR,4,8,2,3,1,0
Agram,3,PRR,4,9,3,2,2,0
Agram,3,PRR,4,10,3,3,1,0
Agram,3,PRR,4,11,1,1,1,0
Agram,3,PRR,4,12,2,2,2,0
Agram,3,PRR,4,13,3,2,1,0
Agram,3,PRR,4,14,1,1,1,0
Agram,3,PRR,4,15,2,2,1,0
Agram,3,PRR,4,16,1,1,1,0
Agram,3,PRR,4,17,2,1,1,0
Agram,3,PRR,4,18,3,1,1,0
Agram,3,PRR,5,1,1,6,5,11880
Agram,3,PRR,5,2,2,1,1,0
Agram,3,PRR,5,3,3,1,1,0
Agram,3,PRR,5,4,3,5,1,0
Agram,3,PRR,5,5,1,2,2,3096
Agram,3,PRR,5,6,2,1,1,0
Agram,3,PRR,5,7,3,4,2,0
Agram,3,PRR,5,8,1,2,2,2497
Agram,3,PRR,5,9,2,2,1,0
Agram,3,PRR,5,10,1,3,1,2854
Agram,3,PRR,5,11,2,3,2,0
Agram,3,PRR,5,12,3,1,1,0
Agram,3,PRR,5,13,1,2,2,1292
Agram,3,PRR,5,14,2,2,1,0
Agram,3,PRR,5,15,3,1,1,0
Agram,3,PRR,5,16,1,1,1,0
Agram,3,PRR,5,17,2,1,1,0
Agram,3,PRR,5,18,3,1,1,0
Agram,3,PRR,6,1,1,6,5,11063
Agram,3,PRR,6,2,2,2,2,0
Agram,3,PRR,6,3,3,2,1,0
Agram,3,PRR,6,4,3,5,1,0
Agram,3,PRR,6,5,1,2,2,2875
Agram,3,PRR,6,6,2,1,1,0
Agram,3,PRR,6,7,2,4,4,0
Agram,3,PRR,6,8,3,2,2,0
Agram,3,PRR,6,9,1,1,1,0
Agram,3,PRR,6,10,2,3,2,0
Agram,3,PRR,6,11,3,1,1,0
Agram,3,PRR,6,12,1,2,1,1525
Agram,3,PRR,6,13,1,2,1,1489
Agram,3,PRR,6,14,2,2,2,0
Agram,3,PRR,6,15,3,2,2,0
Agram,3,PRR,6,16,1,1,1,0
Agram,3,PRR,6,17,2,1,1,0
Agram,3,PRR,6,18,3,1,1,0
Agram,3,PRR,7,1,1,6,3,11254
Agram,3,PRR,7,2,2,2,1,0
Agram,3,PRR,7,3,3,6,4,0
Agram,3,PRR,7,4,2,5,4,0
Agram,3,PRR,7,5,3,1,1,0
Agram,3,PRR,7,6,1,2,1,2977
Agram,3,PRR,7,7,3,4,2,0
Agram,3,PRR,7,8,1,4,2,4992
Agram,3,PRR,7,9,2,4,4,0
Agram,3,PRR,7,10,3,3,1,0
Agram,3,PRR,7,11,1,3,3,2523
Agram,3,PRR,7,12,2,3,3,0
Agram,3,PRR,7,13,3,2,1,0
Agram,3,PRR,7,14,1,1,1,0
Agram,3,PRR,7,15,2,1,1,0
Agram,3,PRR,7,16,3,1,1,0
Agram,3,PRR,7,17,1,1,1,0
Agram,3,PRR,7,18,2,1,1,0
Agram,3,PRR,8,1,1,6,1,11271
Agram,3,PRR,8,2,2,1,1,0
Agram,3,PRR,8,3,3,2,1,0
Agram,3,PRR,8,4,2,5,1,0
Agram,3,PRR,8,5,3,2,2,0
Agram,3,PRR,8,6,1,2,1,3144
Agram,3,PRR,8,7,2,4,3,0
Agram,3,PRR,8,8,3,4,3,0
Agram,3,PRR,8,9,1,2,2,2294
Agram,3,PRR,8,10,1,3,2,2956
Agram,3,PRR,8,11,2,1,1,0
Agram,3,PRR,8,12,3,2,1,0
Agram,3,PRR,8,13,2,2,1,0
Agram,3,PRR,8,14,3,2,2,0
Agram,3,PRR,8,15,1,1,1,0
Agram,3,PRR,8,16,1,1,1,0
Agram,3,PRR,8,17,2,1,1,0
Agram,3,PRR,8,18,3,1,1,0
Agram,3,PRR,9,1,1,6,1,10378
Agram,3,PRR,9,2,2,2,1,0
Agram,3,PRR,9,3,3,2,2,0
Agram,3,PRR,9,4,3,5,1,0
Agram,3,PRR,9,5,1,2,2,2661
Agram,3,PRR,9,6,2,1,1,0
Agram,3,PRR,9,7,2,4,2,0
Agram,3,PRR,9,8,3,1,1,0
Agram,3,PRR,9,9,1,1,1,0
Agram,3,PRR,9,10,1,3,2,2757
Agram,3,PRR,9,11,2,1,1,0
Agram,3,PRR,9,12,3,1,1,0
Agram,3,PRR,9,13,1,2,1,1232
Agram,3,PRR,9,14,2,2,1,0
Agram,3,PRR,9,15,3,2,1,0
Agram,3,PRR,9,16,1,1,1,0
Agram,3,PRR,9,17,2,1,1,0
Agram,3,PRR,9,18,3,1,1,0
Agram,3,PRR,10,1,1,6,5,10780
Agram,3,PRR,10,2,2,6,5,0
Agram,3,PRR,10,3,3,3,1,0
Agram,3,PRR,10,4,3,5,3,0
Agram,3,PRR,10,5,1,1,1,0
Agram,3,PRR,10,6,2,3,1,0
Agram,3,PRR,10,7,1,4,1,5186
Agram,3,PRR,10,8,2,4,3,0
Agram,3,PRR,10,9,3,2,1,0
Agram,3,PRR,10,10,1,3,3,2646
Agram,3,PRR,10,11,2,1,1,0
Agram,3,PRR,10,12,3,1,1,0
Agram,3,PRR,10,13,3,2,2,0
Agram,3,PRR,10,14,1,2,1,1065
Agram,3,PRR,10,15,2,2,1,0
Agram,3,PRR,10,16,3,1,1,0
Agram,3,PRR,10,17,1,1,1,0
Agram,3,PRR,10,18,2,1,1,0
Agram,3,PRR,11,1,1,6,6,13519
Agram,3,PRR,11,2,2,2,1,0
Agram,3,PRR,11,3,3,1,1,0
Agram,3,PRR,11,4,3,5,2,0
Agram,3,PRR,11,5,1,2,2,2703
Agram,3,PRR,11,6,2,2,1,0
Agram,3,PRR,11,7,2,4,1,0
Agram,3,PRR,11,8,3,4,3,0
Agram,3,PRR,11,9,1,4,3,4394
Agram,3,PRR,11,10,2,3,2,0
Agram,3,PRR,11,11,3,3,1,0
Agram,3,PRR,11,12,1,1,1,0
Agram,3,PRR,11,13,2,2,1,0
Agram,3,PRR,11,14,3,1,1,0
Agram,3,PRR,11,15,1,1,1,0
Agram,3,PRR,11,16,1,1,1,0
Agram,3,PRR,11,17,2,1,1,0
Agram,3,PRR,11,18,3,1,1,0
Agram,3,PRR,12,1,1,6,6,11651
Agram,3,PRR,12,2,2,1,1,0
Agram,3,PRR,12,3,3,2,2,0
Agram,3,PRR,12,4,2,5,3,0
Agram,3,PRR,12,5,3,1,1,0
Agram,3,PRR,12,6,1,1,1,0
Agram,3,PRR,12,7,1,4,2,4667
Agram,3,PRR,12,8,2,4,3,0
Agram,3,PRR,12,9,3,1,1,0
Agram,3,PRR,12,10,1,3,1,2655
Agram,3,PRR,12,11,2,1,1,0
Agram,3,PRR,12,12,3,2,2,0
Agram,3,PRR,12,13,1,2,1,1238
Agram,3,PRR,12,14,2,2,2,0
Agram,3,PRR,12,15,3,2,1,0
Agram,3,PRR,12,16,1,1,1,0
Agram,3,PRR,12,17,2,1,1,0
Agram,3,PRR,12,18,3,1,1,0
Agram,3,PRR,13,1,1,6,5,11987
Agram,3,PRR,13,2,2,1,1,0
Agram,3,PRR,13,3,3,1,1,0
Agram,3,PRR,13,4,2,5,1,0
Agram,3,PRR,13,5,3,5,4,0
Agram,3,PRR,13,6,1,1,1,0
Agram,3,PRR,13,7,1,4,4,5619
Agram,3,PRR,13,8,2,2,2,0
Agram,3,PRR,13,9,3,4,1,0
Agram,3,PRR,13,10,2,3,1,0
Agram,3,PRR,13,11,3,3,1,0
Agram,3,PRR,13,12,1,3,1,2310
Agram,3,PRR,13,13,2,2,1,0
Agram,3,PRR,13,14,3,2,1,0
