game,numPlayers,ai,run,move,player,choices,choice,time
Agram,3,RRR,1,1,1,6,6,0
Agram,3,RRR,1,2,2,1,1,0
Agram,3,RRR,1,3,3,6,3,0
Agram,3,RRR,1,4,1,5,2,0
Agram,3,RRR,1,5,2,5,2,0
Agram,3,RRR,1,6,3,5,4,0
Agram,3,RRR,1,7,1,4,3,0
Agram,3,RRR,1,8,2,1,1,0
Agram,3,RRR,1,9,3,2,1,0
Agram,3,RRR,1,10,1,3,1,0
Agram,3,RRR,1,11,2,2,2,0
Agram,3,RRR,1,12,3,3,3,0
Agram,3,RRR,1,13,2,2,2,0
Agram,3,RRR,1,14,3,2,1,0
Agram,3,RRR,1,15,1,2,1,0
Agram,3,RRR,1,16,2,1,1,0
Agram,3,RRR,1,17,3,1,1,0
Agram,3,RRR,1,18,1,1,1,0
Agram,3,RRR,2,1,1,6,4,0
Agram,3,RRR,2,2,2,1,1,0
Agram,3,RRR,2,3,3,1,1,0
Agram,3,RRR,2,4,3,5,5,0
Agram,3,RRR,2,5,1,1,1,0
Agram,3,RRR,2,6,2,5,3,0
Agram,3,RRR,2,7,1,4,4,0
Agram,3,RRR,2,8,2,3,3,0
Agram,3,RRR,2,9,3,1,1,0
Agram,3,RRR,2,10,3,3,2,0
Agram,3,RRR,2,11,1,1,1,0
Agram,3,RRR,2,12,2,1,1,0
Agram,3,RRR,2,13,3,2,1,0
Agram,3,RRR,2,14,1,2,2,0
Agram,3,RRR,2,15,2,2,1,0
Agram,3,RRR,2,16,3,1,1,0
Agram,3,RRR,2,17,1,1,1,0
Agram,3,RRR,2,18,2,1,1,0
Agram,3,RRR,3,1,1,6,2,0
Agram,3,RRR,3,2,2,1,1,0
Agram,3,RRR,3,3,3,6,4,0
Agram,3,RRR,3,4,2,5,1,0
Agram,3,RRR,3,5,3,2,2,0
Agram,3,RRR,3,6,1,1,1,0
Agram,3,RRR,3,7,2,4,3,0
Agram,3,RRR,3,8,3,4,1,0
Agram,3,RRR,3,9,1,3,2,0
Agram,3,RRR,3,10,2,3,2,0
Agram,3,RRR,3,11,3,2,2,0
Agram,3,RRR,3,12,1,3,3,0
Agram,3,RRR,3,13,3,2,2,0
Agram,3,RRR,3,14,1,2,2,0
Agram,3,RRR,3,15,2,1,1,0
Agram,3,RRR,3,16,3,1,1,0
Agram,3,RRR,3,17,1,1,1,0
Agram,3,RRR,3,18,2,1,1,0
Agram,3,RRR,4,1,1,6,6,0
Agram,3,RRR,4,2,2,2,1,0
Agram,3,RRR,4,3,3,6,6,0
Agram,3,RRR,4,4,1,5,4,0
Agram,3,RRR,4,5,2,1,1,0
Agram,3,RRR,4,6,3,3,1,0
Agram,3,RRR,4,7,1,4,4,0
Agram,3,RRR,4,8,2,4,1,0
Agram,3,RRR,4,9,3,2,1,0
Agram,3,RRR,4,10,3,3,2,0
Agram,3,RRR,4,11,1,3,1,0
Agram,3,RRR,4,12,2,3,3,0
Agram,3,RRR,4,13,3,2,1,0
Agram,3,RRR,4,14,1,1,1,0
Agram,3,RRR,4,15,2,2,2,0
Agram,3,RRR,4,16,1,1,1,0
Agram,3,RRR,4,17,2,1,1,0
Agram,3,RRR,4,18,3,1,1,0
Agram,3,RRR,5,1,1,6,5,0
Agram,3,RRR,5,2,2,1,1,0
Agram,3,RRR,5,3,3,4,4,0
Agram,3,RRR,5,4,2,5,3,0
Agram,3,RRR,5,5,3,5,5,0
Agram,3,RRR,5,6,1,1,1,0
Agram,3,RRR,5,7,2,4,3,0
Agram,3,RRR,5,8,3,4,2,0
Agram,3,RRR,5,9,1,1,1,0
Agram,3,RRR,5,10,1,3,2,0
Agram,3,RRR,5,11,2,1,1,0
Agram,3,RRR,5,12,3,1,1,0
Agram,3,RRR,5,13,2,2,1,0
Agram,3,RRR,5,14,3,2,2,0
Agram,3,RRR,5,15,1,2,1,0
Agram,3,RRR,5,16,2,1,1,0
Agram,3,RRR,5,17,3,1,1,0
Agram,3,RRR,5,18,1,1,1,0
Agram,3,RRR,6,1,1,6,5,0
Agram,3,RRR,6,2,2,1,1,0
Agram,3,RRR,6,3,3,6,1,0
