game,numPlayers,ai,run,player,score,rank,time
Agram,3,RRR,1,1,0,2,3909
Agram,3,RRR,1,2,1,1,3909
Agram,3,RRR,1,3,0,2,3909
Agram,3,RRR,2,1,0,2,3655
Agram,3,RRR,2,2,0,2,3655
Agram,3,RRR,2,3,1,1,3655
Agram,3,RRR,3,1,0,2,3590
Agram,3,RRR,3,2,0,2,3590
Agram,3,RRR,3,3,1,1,3590
Agram,3,RRR,4,1,1,1,3675
Agram,3,RRR,4,2,0,2,3675
Agram,3,RRR,4,3,0,2,3675
Agram,3,RRR,5,1,0,2,3570
Agram,3,RRR,5,2,1,1,3570
Agram,3,RRR,5,3,0,2,3570
Agram,3,RRR,6,1,1,1,3751
Agram,3,RRR,6,2,0,2,3751
Agram,3,RRR,6,3,0,2,3751
Agram,3,RRR,7,1,1,1,3525
Agram,3,RRR,7,2,0,2,3525
Agram,3,RRR,7,3,0,2,3525
Agram,3,RRR,8,1,1,1,3531
Agram,3,RRR,8,2,0,2,3531
Agram,3,RRR,8,3,0,2,3531
Agram,3,RRR,9,1,1,1,3685
Agram,3,RRR,9,2,0,2,3685
Agram,3,RRR,9,3,0,2,3685
Agram,3,RRR,10,1,0,2,3758
Agram,3,RRR,10,2,0,2,3758
Agram,3,RRR,10,3,1,1,3758
Agram,3,RRR,11,1,1,1,3624
Agram,3,RRR,11,2,0,2,3624
Agram,3,RRR,11,3,0,2,3624
Agram,3,RRR,12,1,0,2,3762
Agram,3,RRR,12,2,1,1,3762
Agram,3,RRR,12,3,0,2,3762
Agram,3,RRR,13,1,0,2,3784
Agram,3,RRR,13,2,1,1,3784
Agram,3,RRR,13,3,0,2,3784
Agram,3,RRR,14,1,0,2,3524
Agram,3,RRR,14,2,1,1,3524
Agram,3,RRR,14,3,0,2,3524
Agram,3,RRR,15,1,1,1,3756
Agram,3,RRR,15,2,0,2,3756
Agram,3,RRR,15,3,0,2,3756
Agram,3,RRR,16,1,1,1,3517
Agram,3,RRR,16,2,0,2,3517
Agram,3,RRR,16,3,0,2,3517
Agram,3,RRR,17,1,0,2,3770
Agram,3,RRR,17,2,0,2,3770
Agram,3,RRR,17,3,1,1,3770
Agram,3,RRR,18,1,1,1,3813
Agram,3,RRR,18,2,0,2,3813
Agram,3,RRR,18,3,0,2,3813
Agram,3,RRR,19,1,1,1,4008
Agram,3,RRR,19,2,0,2,4008
Agram,3,RRR,19,3,0,2,4008
Agram,3,RRR,20,1,1,1,3727
Agram,3,RRR,20,2,0,2,3727
Agram,3,RRR,20,3,0,2,3727
Agram,3,RRR,21,1,0,2,3856
Agram,3,RRR,21,2,1,1,3856
Agram,3,RRR,21,3,0,2,3856
Agram,3,RRR,22,1,1,1,3890
Agram,3,RRR,22,2,0,2,3890
Agram,3,RRR,22,3,0,2,3890
Agram,3,RRR,23,1,0,2,3531
Agram,3,RRR,23,2,1,1,3531
Agram,3,RRR,23,3,0,2,3531
Agram,3,RRR,24,1,0,2,3440
Agram,3,RRR,24,2,0,2,3440
Agram,3,RRR,24,3,1,1,3440
Agram,3,RRR,25,1,1,1,3842
Agram,3,RRR,25,2,0,2,3842
Agram,3,RRR,25,3,0,2,3842
Agram,3,RRR,26,1,0,2,3729
Agram,3,RRR,26,2,1,1,3729
Agram,3,RRR,26,3,0,2,3729
Agram,3,RRR,27,1,0,2,3564
Agram,3,RRR,27,2,1,1,3564
Agram,3,RRR,27,3,0,2,3564
Agram,3,RRR,28,1,0,2,3478
Agram,3,RRR,28,2,1,1,3478
Agram,3,RRR,28,3,0,2,3478
Agram,3,RRR,29,1,1,1,3401
Agram,3,RRR,29,2,0,2,3401
Agram,3,RRR,29,3,0,2,3401
Agram,3,RRR,30,1,1,1,3532
Agram,3,RRR,30,2,0,2,3532
Agram,3,RRR,30,3,0,2,3532
Agram,3,RRR,31,1,0,2,3290
Agram,3,RRR,31,2,1,1,3290
Agram,3,RRR,31,3,0,2,3290
Agram,3,RRR,32,1,1,1,3378
Agram,3,RRR,32,2,0,2,3378
Agram,3,RRR,32,3,0,2,3378
Agram,3,RRR,33,1,0,2,3404
Agram,3,RRR,33,2,0,2,3404
Agram,3,RRR,33,3,1,1,3404
Agram,3,RRR,34,1,0,2,3504
Agram,3,RRR,34,2,1,1,3504
Agram,3,RRR,34,3,0,2,3504
Agram,3,RRR,35,1,0,2,3423
Agram,3,RRR,35,2,0,2,3423
Agram,3,RRR,35,3,1,1,3423
Agram,3,RRR,36,1,1,1,3644
Agram,3,RRR,36,2,0,2,3644
Agram,3,RRR,36,3,0,2,3644
Agram,3,RRR,37,1,0,2,3722
Agram,3,RRR,37,2,0,2,3722
Agram,3,RRR,37,3,1,1,3722
Agram,3,RRR,38,1,0,2,3427
Agram,3,RRR,38,2,1,1,3427
Agram,3,RRR,38,3,0,2,3427
Agram,3,RRR,39,1,0,2,3572
Agram,3,RRR,39,2,0,2,3572
Agram,3,RRR,39,3,1,1,3572
Agram,3,RRR,40,1,0,2,3504
Agram,3,RRR,40,2,0,2,3504
Agram,3,RRR,40,3,1,1,3504
Agram,3,RRR,41,1,0,2,3528
Agram,3,RRR,41,2,0,2,3528
Agram,3,RRR,41,3,1,1,3528
Agram,3,RRR,42,1,1,1,3420
Agram,3,RRR,42,2,0,2,3420
Agram,3,RRR,42,3,0,2,3420
Agram,3,RRR,43,1,0,2,3962
Agram,3,RRR,43,2,1,1,3962
Agram,3,RRR,43,3,0,2,3962
Agram,3,RRR,44,1,1,1,3492
Agram,3,RRR,44,2,0,2,3492
Agram,3,RRR,44,3,0,2,3492
Agram,3,RRR,45,1,0,2,3371
Agram,3,RRR,45,2,1,1,3371
Agram,3,RRR,45,3,0,2,3371
Agram,3,RRR,46,1,1,1,3461
Agram,3,RRR,46,2,0,2,3461
Agram,3,RRR,46,3,0,2,3461
Agram,3,RRR,47,1,1,1,3592
Agram,3,RRR,47,2,0,2,3592
Agram,3,RRR,47,3,0,2,3592
Agram,3,RRR,48,1,1,1,3354
Agram,3,RRR,48,2,0,2,3354
Agram,3,RRR,48,3,0,2,3354
Agram,3,RRR,49,1,0,2,3944
Agram,3,RRR,49,2,0,2,3944
Agram,3,RRR,49,3,1,1,3944
Agram,3,RRR,50,1,0,2,3518
Agram,3,RRR,50,2,1,1,3518
Agram,3,RRR,50,3,0,2,3518
Agram,3,RRR,51,1,1,1,4043
Agram,3,RRR,51,2,0,2,4043
Agram,3,RRR,51,3,0,2,4043
Agram,3,RRR,52,1,0,2,4081
Agram,3,RRR,52,2,1,1,4081
Agram,3,RRR,52,3,0,2,4081
Agram,3,RRR,53,1,0,2,3621
Agram,3,RRR,53,2,1,1,3621
Agram,3,RRR,53,3,0,2,3621
Agram,3,RRR,54,1,0,2,3994
Agram,3,RRR,54,2,1,1,3994
Agram,3,RRR,54,3,0,2,3994
Agram,3,RRR,55,1,1,1,3710
Agram,3,RRR,55,2,0,2,3710
Agram,3,RRR,55,3,0,2,3710
Agram,3,RRR,56,1,1,1,3513
Agram,3,RRR,56,2,0,2,3513
Agram,3,RRR,56,3,0,2,3513
Agram,3,RRR,57,1,1,1,3586
Agram,3,RRR,57,2,0,2,3586
Agram,3,RRR,57,3,0,2,3586
Agram,3,RRR,58,1,0,2,3651
Agram,3,RRR,58,2,1,1,3651
Agram,3,RRR,58,3,0,2,3651
Agram,3,RRR,59,1,0,2,3863
Agram,3,RRR,59,2,1,1,3863
Agram,3,RRR,59,3,0,2,3863
Agram,3,RRR,60,1,1,1,3556
Agram,3,RRR,60,2,0,2,3556
Agram,3,RRR,60,3,0,2,3556
Agram,3,RRR,61,1,1,1,3699
Agram,3,RRR,61,2,0,2,3699
Agram,3,RRR,61,3,0,2,3699
Agram,3,RRR,62,1,1,1,3527
Agram,3,RRR,62,2,0,2,3527
Agram,3,RRR,62,3,0,2,3527
