game,numPlayers,ai,run,move,player,choices,choice,time
Cuckoo,6,PRRRRR,1,1,1,2,1,266
Cuckoo,6,PRRRRR,1,2,2,2,1,0
Cuckoo,6,PRRRRR,1,3,3,2,1,0
Cuckoo,6,PRRRRR,1,4,4,2,2,0
Cuckoo,6,PRRRRR,1,5,5,1,1,0
Cuckoo,6,PRRRRR,1,6,5,2,1,0
Cuckoo,6,PRRRRR,1,7,6,2,2,0
Cuckoo,6,PRRRRR,1,8,6,1,1,0
Cuckoo,6,PRRRRR,1,9,1,1,1,0
Cuckoo,6,PRRRRR,1,10,2,1,1,0
Cuckoo,6,PRRRRR,1,11,3,1,1,0
Cuckoo,6,PRRRRR,1,12,4,1,1,0
Cuckoo,6,PRRRRR,1,13,5,1,1,0
Cuckoo,6,PRRRRR,1,14,6,1,1,0
Cuckoo,6,PRRRRR,2,1,1,2,1,255
Cuckoo,6,PRRRRR,2,2,2,2,2,0
Cuckoo,6,PRRRRR,2,3,3,1,1,0
Cuckoo,6,PRRRRR,2,4,3,2,1,0
Cuckoo,6,PRRRRR,2,5,4,2,1,0
Cuckoo,6,PRRRRR,2,6,5,2,1,0
Cuckoo,6,PRRRRR,2,7,6,2,1,0
Cuckoo,6,PRRRRR,2,8,1,2,1,274
Cuckoo,6,PRRRRR,2,9,2,2,2,0
Cuckoo,6,PRRRRR,2,10,3,1,1,0
Cuckoo,6,PRRRRR,2,11,3,2,2,0
Cuckoo,6,PRRRRR,2,12,4,1,1,0
Cuckoo,6,PRRRRR,2,13,4,2,1,0
Cuckoo,6,PRRRRR,2,14,5,2,1,0
Cuckoo,6,PRRRRR,2,15,6,2,1,0
Cuckoo,6,PRRRRR,2,16,1,2,1,273
Cuckoo,6,PRRRRR,2,17,2,2,2,0
Cuckoo,6,PRRRRR,2,18,3,1,1,0
Cuckoo,6,PRRRRR,2,19,3,2,1,0
Cuckoo,6,PRRRRR,2,20,4,2,2,0
Cuckoo,6,PRRRRR,2,21,5,1,1,0
Cuckoo,6,PRRRRR,2,22,5,2,1,0
Cuckoo,6,PRRRRR,2,23,6,2,1,0
Cuckoo,6,PRRRRR,2,24,1,2,1,264
Cuckoo,6,PRRRRR,2,25,2,2,1,0
Cuckoo,6,PRRRRR,2,26,3,2,2,0
Cuckoo,6,PRRRRR,2,27,4,1,1,0
Cuckoo,6,PRRRRR,2,28,4,2,2,0
Cuckoo,6,PRRRRR,2,29,5,1,1,0
Cuckoo,6,PRRRRR,2,30,5,2,1,0
Cuckoo,6,PRRRRR,2,31,6,2,2,0
Cuckoo,6,PRRRRR,2,32,6,1,1,0
Cuckoo,6,PRRRRR,2,33,1,1,1,0
Cuckoo,6,PRRRRR,2,34,2,1,1,0
Cuckoo,6,PRRRRR,2,35,3,1,1,0
Cuckoo,6,PRRRRR,2,36,4,1,1,0
Cuckoo,6,PRRRRR,2,37,5,1,1,0
Cuckoo,6,PRRRRR,2,38,6,1,1,0
Cuckoo,6,PRRRRR,3,1,1,2,1,273
Cuckoo,6,PRRRRR,3,2,2,2,1,0
Cuckoo,6,PRRRRR,3,3,3,2,2,0
Cuckoo,6,PRRRRR,3,4,4,1,1,0
Cuckoo,6,PRRRRR,3,5,4,2,2,0
Cuckoo,6,PRRRRR,3,6,5,1,1,0
Cuckoo,6,PRRRRR,3,7,5,2,1,0
Cuckoo,6,PRRRRR,3,8,6,2,1,0
Cuckoo,6,PRRRRR,3,9,1,2,1,277
Cuckoo,6,PRRRRR,3,10,2,2,2,0
Cuckoo,6,PRRRRR,3,11,3,1,1,0
Cuckoo,6,PRRRRR,3,12,3,2,2,0
Cuckoo,6,PRRRRR,3,13,4,1,1,0
Cuckoo,6,PRRRRR,3,14,4,2,2,0
Cuckoo,6,PRRRRR,3,15,5,1,1,0
Cuckoo,6,PRRRRR,3,16,5,2,2,0
Cuckoo,6,PRRRRR,3,17,6,1,1,0
Cuckoo,6,PRRRRR,3,18,6,2,1,0
Cuckoo,6,PRRRRR,3,19,1,2,1,291
Cuckoo,6,PRRRRR,3,20,2,2,2,0
Cuckoo,6,PRRRRR,3,21,3,1,1,0
Cuckoo,6,PRRRRR,3,22,3,2,1,0
Cuckoo,6,PRRRRR,3,23,4,2,2,0
Cuckoo,6,PRRRRR,3,24,5,1,1,0
Cuckoo,6,PRRRRR,3,25,5,2,2,0
Cuckoo,6,PRRRRR,3,26,6,1,1,0
Cuckoo,6,PRRRRR,3,27,6,2,1,0
Cuckoo,6,PRRRRR,3,28,1,2,1,261
Cuckoo,6,PRRRRR,3,29,2,2,2,0
Cuckoo,6,PRRRRR,3,30,3,1,1,0
Cuckoo,6,PRRRRR,3,31,3,2,1,0
Cuckoo,6,PRRRRR,3,32,4,2,2,0
Cuckoo,6,PRRRRR,3,33,5,1,1,0
Cuckoo,6,PRRRRR,3,34,5,2,1,0
Cuckoo,6,PRRRRR,3,35,6,2,2,0
Cuckoo,6,PRRRRR,3,36,6,1,1,0
Cuckoo,6,PRRRRR,3,37,1,1,1,0
Cuckoo,6,PRRRRR,3,38,2,1,1,0
Cuckoo,6,PRRRRR,3,39,3,1,1,0
Cuckoo,6,PRRRRR,3,40,4,1,1,0
Cuckoo,6,PRRRRR,3,41,5,1,1,0
Cuckoo,6,PRRRRR,3,42,6,1,1,0
Cuckoo,6,PRRRRR,4,1,1,2,1,262
Cuckoo,6,PRRRRR,4,2,2,2,1,0
Cuckoo,6,PRRRRR,4,3,3,2,2,0
Cuckoo,6,PRRRRR,4,4,4,1,1,0
Cuckoo,6,PRRRRR,4,5,4,2,2,0
Cuckoo,6,PRRRRR,4,6,5,1,1,0
Cuckoo,6,PRRRRR,4,7,5,2,2,0
Cuckoo,6,PRRRRR,4,8,6,1,1,0
Cuckoo,6,PRRRRR,4,9,6,2,2,0
Cuckoo,6,PRRRRR,4,10,6,1,1,0
Cuckoo,6,PRRRRR,4,11,1,1,1,0
Cuckoo,6,PRRRRR,4,12,2,1,1,0
Cuckoo,6,PRRRRR,4,13,3,1,1,0
Cuckoo,6,PRRRRR,4,14,4,1,1,0
Cuckoo,6,PRRRRR,4,15,5,1,1,0
Cuckoo,6,PRRRRR,4,16,6,1,1,0
Cuckoo,6,PRRRRR,5,1,1,2,1,275
Cuckoo,6,PRRRRR,5,2,2,2,2,0
Cuckoo,6,PRRRRR,5,3,3,1,1,0
Cuckoo,6,PRRRRR,5,4,3,2,1,0
Cuckoo,6,PRRRRR,5,5,4,2,2,0
Cuckoo,6,PRRRRR,5,6,5,1,1,0
Cuckoo,6,PRRRRR,5,7,5,2,1,0
Cuckoo,6,PRRRRR,5,8,6,2,1,0
Cuckoo,6,PRRRRR,5,9,1,2,1,264
Cuckoo,6,PRRRRR,5,10,2,2,1,0
Cuckoo,6,PRRRRR,5,11,3,2,2,0
Cuckoo,6,PRRRRR,5,12,4,1,1,0
Cuckoo,6,PRRRRR,5,13,4,2,1,0
Cuckoo,6,PRRRRR,5,14,5,2,1,0
Cuckoo,6,PRRRRR,5,15,6,2,1,0
