game,numPlayers,ai,run,player,score,rank,time
Cuckoo,6,PRRRRR,1,1,1,1,1033
Cuckoo,6,PRRRRR,1,2,1,1,1033
Cuckoo,6,PRRRRR,1,3,0,6,1033
Cuckoo,6,PRRRRR,1,4,1,1,1033
Cuckoo,6,PRRRRR,1,5,1,1,1033
Cuckoo,6,PRRRRR,1,6,1,1,1033
Cuckoo,6,PRRRRR,2,1,1,1,1875
Cuckoo,6,PRRRRR,2,2,0,6,1875
Cuckoo,6,PRRRRR,2,3,1,1,1875
Cuckoo,6,PRRRRR,2,4,1,1,1875
Cuckoo,6,PRRRRR,2,5,1,1,1875
Cuckoo,6,PRRRRR,2,6,1,1,1875
Cuckoo,6,PRRRRR,3,1,1,1,1997
Cuckoo,6,PRRRRR,3,2,1,1,1997
Cuckoo,6,PRRRRR,3,3,1,1,1997
Cuckoo,6,PRRRRR,3,4,1,1,1997
Cuckoo,6,PRRRRR,3,5,0,6,1997
Cuckoo,6,PRRRRR,3,6,1,1,1997
Cuckoo,6,PRRRRR,4,1,1,1,888
Cuckoo,6,PRRRRR,4,2,1,1,888
Cuckoo,6,PRRRRR,4,3,1,1,888
Cuckoo,6,PRRRRR,4,4,1,1,888
Cuckoo,6,PRRRRR,4,5,1,1,888
Cuckoo,6,PRRRRR,4,6,0,6,888
Cuckoo,6,PRRRRR,5,1,1,1,1680
Cuckoo,6,PRRRRR,5,2,1,1,1680
Cuckoo,6,PRRRRR,5,3,1,1,1680
Cuckoo,6,PRRRRR,5,4,0,6,1680
Cuckoo,6,PRRRRR,5,5,1,1,1680
Cuckoo,6,PRRRRR,5,6,1,1,1680
Cuckoo,6,PRRRRR,6,1,1,1,1651
Cuckoo,6,PRRRRR,6,2,1,1,1651
Cuckoo,6,PRRRRR,6,3,0,6,1651
Cuckoo,6,PRRRRR,6,4,1,1,1651
Cuckoo,6,PRRRRR,6,5,1,1,1651
Cuckoo,6,PRRRRR,6,6,1,1,1651
Cuckoo,6,PRRRRR,7,1,1,1,963
Cuckoo,6,PRRRRR,7,2,1,1,963
Cuckoo,6,PRRRRR,7,3,1,1,963
Cuckoo,6,PRRRRR,7,4,0,6,963
Cuckoo,6,PRRRRR,7,5,1,1,963
Cuckoo,6,PRRRRR,7,6,1,1,963
Cuckoo,6,PRRRRR,8,1,1,1,2398
Cuckoo,6,PRRRRR,8,2,0,6,2398
Cuckoo,6,PRRRRR,8,3,1,1,2398
Cuckoo,6,PRRRRR,8,4,1,1,2398
Cuckoo,6,PRRRRR,8,5,1,1,2398
Cuckoo,6,PRRRRR,8,6,1,1,2398
Cuckoo,6,PRRRRR,9,1,1,1,1293
Cuckoo,6,PRRRRR,9,2,0,6,1293
Cuckoo,6,PRRRRR,9,3,1,1,1293
Cuckoo,6,PRRRRR,9,4,1,1,1293
Cuckoo,6,PRRRRR,9,5,1,1,1293
Cuckoo,6,PRRRRR,9,6,1,1,1293
Cuckoo,6,PRRRRR,10,1,1,1,1410
Cuckoo,6,PRRRRR,10,2,1,1,1410
Cuckoo,6,PRRRRR,10,3,1,1,1410
Cuckoo,6,PRRRRR,10,4,1,1,1410
Cuckoo,6,PRRRRR,10,5,0,6,1410
Cuckoo,6,PRRRRR,10,6,1,1,1410
Cuckoo,6,PRRRRR,11,1,1,1,1022
Cuckoo,6,PRRRRR,11,2,1,1,1022
Cuckoo,6,PRRRRR,11,3,1,1,1022
Cuckoo,6,PRRRRR,11,4,0,6,1022
Cuckoo,6,PRRRRR,11,5,1,1,1022
Cuckoo,6,PRRRRR,11,6,1,1,1022
Cuckoo,6,PRRRRR,12,1,1,1,1686
Cuckoo,6,PRRRRR,12,2,1,1,1686
Cuckoo,6,PRRRRR,12,3,0,6,1686
Cuckoo,6,PRRRRR,12,4,1,1,1686
Cuckoo,6,PRRRRR,12,5,1,1,1686
Cuckoo,6,PRRRRR,12,6,1,1,1686
Cuckoo,6,PRRRRR,13,1,0,6,1191
Cuckoo,6,PRRRRR,13,2,1,1,1191
Cuckoo,6,PRRRRR,13,3,1,1,1191
Cuckoo,6,PRRRRR,13,4,1,1,1191
Cuckoo,6,PRRRRR,13,5,1,1,1191
Cuckoo,6,PRRRRR,13,6,1,1,1191
Cuckoo,6,PRRRRR,14,1,1,1,999
Cuckoo,6,PRRRRR,14,2,0,6,999
Cuckoo,6,PRRRRR,14,3,1,1,999
Cuckoo,6,PRRRRR,14,4,1,1,999
Cuckoo,6,PRRRRR,14,5,1,1,999
Cuckoo,6,PRRRRR,14,6,1,1,999
Cuckoo,6,PRRRRR,15,1,1,1,913
Cuckoo,6,PRRRRR,15,2,0,6,913
Cuckoo,6,PRRRRR,15,3,1,1,913
