game,numPlayers,ai,run,move,player,choices,choice,time
Cuckoo,6,RRRRRR,1,1,1,2,1,0
Cuckoo,6,RRRRRR,1,2,2,2,2,0
Cuckoo,6,RRRRRR,1,3,3,1,1,0
Cuckoo,6,RRRRRR,1,4,3,2,1,0
Cuckoo,6,RRRRRR,1,5,4,2,2,0
Cuckoo,6,RRRRRR,1,6,5,1,1,0
Cuckoo,6,RRRRRR,1,7,5,2,2,0
Cuckoo,6,RRRRRR,1,8,6,1,1,0
Cuckoo,6,RRRRRR,1,9,6,2,2,0
Cuckoo,6,RRRRRR,1,10,6,1,1,0
Cuckoo,6,RRRRRR,1,11,1,1,1,0
Cuckoo,6,RRRRRR,1,12,2,1,1,0
Cuckoo,6,RRRRRR,1,13,3,1,1,0
Cuckoo,6,RRRRRR,1,14,4,1,1,0
Cuckoo,6,RRRRRR,1,15,5,1,1,0
Cuckoo,6,RRRRRR,1,16,6,1,1,0
Cuckoo,6,RRRRRR,2,1,1,2,1,0
Cuckoo,6,RRRRRR,2,2,2,2,2,0
Cuckoo,6,RRRRRR,2,3,3,1,1,0
Cuckoo,6,RRRRRR,2,4,3,2,1,0
Cuckoo,6,RRRRRR,2,5,4,2,2,0
Cuckoo,6,RRRRRR,2,6,5,1,1,0
Cuckoo,6,RRRRRR,2,7,5,2,2,0
Cuckoo,6,RRRRRR,2,8,6,1,1,0
Cuckoo,6,RRRRRR,2,9,6,2,2,0
Cuckoo,6,RRRRRR,2,10,6,1,1,0
Cuckoo,6,RRRRRR,2,11,1,1,1,0
Cuckoo,6,RRRRRR,2,12,2,1,1,0
Cuckoo,6,RRRRRR,2,13,3,1,1,0
Cuckoo,6,RRRRRR,2,14,4,1,1,0
Cuckoo,6,RRRRRR,2,15,5,1,1,0
Cuckoo,6,RRRRRR,2,16,6,1,1,0
Cuckoo,6,RRRRRR,3,1,1,2,1,0
Cuckoo,6,RRRRRR,3,2,2,2,1,0
Cuckoo,6,RRRRRR,3,3,3,2,2,0
Cuckoo,6,RRRRRR,3,4,4,1,1,0
Cuckoo,6,RRRRRR,3,5,4,2,2,0
Cuckoo,6,RRRRRR,3,6,5,1,1,0
Cuckoo,6,RRRRRR,3,7,5,2,2,0
Cuckoo,6,RRRRRR,3,8,6,1,1,0
Cuckoo,6,RRRRRR,3,9,6,2,1,0
Cuckoo,6,RRRRRR,3,10,1,1,1,0
Cuckoo,6,RRRRRR,3,11,2,1,1,0
Cuckoo,6,RRRRRR,3,12,3,1,1,0
Cuckoo,6,RRRRRR,3,13,4,1,1,0
Cuckoo,6,RRRRRR,3,14,5,1,1,0
Cuckoo,6,RRRRRR,3,15,6,1,1,0
Cuckoo,6,RRRRRR,4,1,1,2,1,0
Cuckoo,6,RRRRRR,4,2,2,2,1,0
Cuckoo,6,RRRRRR,4,3,3,2,2,0
Cuckoo,6,RRRRRR,4,4,4,1,1,0
Cuckoo,6,RRRRRR,4,5,4,2,2,0
Cuckoo,6,RRRRRR,4,6,5,1,1,0
Cuckoo,6,RRRRRR,4,7,5,2,2,0
Cuckoo,6,RRRRRR,4,8,6,1,1,0
Cuckoo,6,RRRRRR,4,9,6,2,1,0
Cuckoo,6,RRRRRR,4,10,1,1,1,0
Cuckoo,6,RRRRRR,4,11,2,1,1,0
Cuckoo,6,RRRRRR,4,12,3,1,1,0
Cuckoo,6,RRRRRR,4,13,4,1,1,0
Cuckoo,6,RRRRRR,4,14,5,1,1,0
Cuckoo,6,RRRRRR,4,15,6,1,1,0
Cuckoo,6,RRRRRR,5,1,1,2,2,0
Cuckoo,6,RRRRRR,5,2,2,1,1,0
Cuckoo,6,RRRRRR,5,3,2,2,1,0
Cuckoo,6,RRRRRR,5,4,3,2,2,0
Cuckoo,6,RRRRRR,5,5,4,1,1,0
Cuckoo,6,RRRRRR,5,6,4,2,2,0
Cuckoo,6,RRRRRR,5,7,5,1,1,0
Cuckoo,6,RRRRRR,5,8,5,2,2,0
Cuckoo,6,RRRRRR,5,9,6,1,1,0
Cuckoo,6,RRRRRR,5,10,6,2,2,0
Cuckoo,6,RRRRRR,5,11,6,1,1,0
Cuckoo,6,RRRRRR,5,12,1,1,1,0
Cuckoo,6,RRRRRR,5,13,2,1,1,0
Cuckoo,6,RRRRRR,5,14,3,1,1,0
Cuckoo,6,RRRRRR,5,15,4,1,1,0
Cuckoo,6,RRRRRR,5,16,5,1,1,0
Cuckoo,6,RRRRRR,5,17,6,1,1,0
Cuckoo,6,RRRRRR,6,1,1,2,1,0
Cuckoo,6,RRRRRR,6,2,2,2,1,0
Cuckoo,6,RRRRRR,6,3,3,2,2,0
Cuckoo,6,RRRRRR,6,4,4,1,1,0
Cuckoo,6,RRRRRR,6,5,4,2,2,0
Cuckoo,6,RRRRRR,6,6,5,1,1,0
