game,numPlayers,ai,run,player,score,rank,time
Cuckoo,6,RRRRRR,1,1,1,1,627
Cuckoo,6,RRRRRR,1,2,0,6,627
Cuckoo,6,RRRRRR,1,3,1,1,627
Cuckoo,6,RRRRRR,1,4,1,1,627
Cuckoo,6,RRRRRR,1,5,1,1,627
Cuckoo,6,RRRRRR,1,6,1,1,627
Cuckoo,6,RRRRRR,2,1,1,1,547
Cuckoo,6,RRRRRR,2,2,1,1,547
Cuckoo,6,RRRRRR,2,3,1,1,547
Cuckoo,6,RRRRRR,2,4,1,1,547
Cuckoo,6,RRRRRR,2,5,0,6,547
Cuckoo,6,RRRRRR,2,6,1,1,547
Cuckoo,6,RRRRRR,3,1,0,6,593
Cuckoo,6,RRRRRR,3,2,1,1,593
Cuckoo,6,RRRRRR,3,3,1,1,593
Cuckoo,6,RRRRRR,3,4,1,1,593
Cuckoo,6,RRRRRR,3,5,1,1,593
Cuckoo,6,RRRRRR,3,6,1,1,593
Cuckoo,6,RRRRRR,4,1,1,1,589
Cuckoo,6,RRRRRR,4,2,1,1,589
Cuckoo,6,RRRRRR,4,3,0,6,589
Cuckoo,6,RRRRRR,4,4,1,1,589
Cuckoo,6,RRRRRR,4,5,1,1,589
Cuckoo,6,RRRRRR,4,6,1,1,589
Cuckoo,6,RRRRRR,5,1,1,1,647
Cuckoo,6,RRRRRR,5,2,1,1,647
Cuckoo,6,RRRRRR,5,3,1,1,647
Cuckoo,6,RRRRRR,5,4,1,1,647
Cuckoo,6,RRRRRR,5,5,0,6,647
Cuckoo,6,RRRRRR,5,6,1,1,647
Cuckoo,6,RRRRRR,6,1,1,1,557
Cuckoo,6,RRRRRR,6,2,0,6,557
Cuckoo,6,RRRRRR,6,3,1,1,557
Cuckoo,6,RRRRRR,6,4,1,1,557
Cuckoo,6,RRRRRR,6,5,1,1,557
Cuckoo,6,RRRRRR,6,6,1,1,557
Cuckoo,6,RRRRRR,7,1,1,1,591
Cuckoo,6,RRRRRR,7,2,1,1,591
Cuckoo,6,RRRRRR,7,3,1,1,591
Cuckoo,6,RRRRRR,7,4,0,6,591
Cuckoo,6,RRRRRR,7,5,1,1,591
Cuckoo,6,RRRRRR,7,6,1,1,591
Cuckoo,6,RRRRRR,8,1,0,6,592
Cuckoo,6,RRRRRR,8,2,1,1,592
Cuckoo,6,RRRRRR,8,3,1,1,592
Cuckoo,6,RRRRRR,8,4,1,1,592
Cuckoo,6,RRRRRR,8,5,1,1,592
Cuckoo,6,RRRRRR,8,6,1,1,592
Cuckoo,6,RRRRRR,9,1,0,6,584
Cuckoo,6,RRRRRR,9,2,1,1,584
Cuckoo,6,RRRRRR,9,3,1,1,584
Cuckoo,6,RRRRRR,9,4,1,1,584
Cuckoo,6,RRRRRR,9,5,1,1,584
Cuckoo,6,RRRRRR,9,6,1,1,584
Cuckoo,6,RRRRRR,10,1,1,1,558
Cuckoo,6,RRRRRR,10,2,1,1,558
Cuckoo,6,RRRRRR,10,3,0,6,558
Cuckoo,6,RRRRRR,10,4,1,1,558
Cuckoo,6,RRRRRR,10,5,1,1,558
Cuckoo,6,RRRRRR,10,6,1,1,558
Cuckoo,6,RRRRRR,11,1,0,6,495
Cuckoo,6,RRRRRR,11,2,1,1,495
Cuckoo,6,RRRRRR,11,3,1,1,495
Cuckoo,6,RRRRRR,11,4,1,1,495
Cuckoo,6,RRRRRR,11,5,1,1,495
Cuckoo,6,RRRRRR,11,6,1,1,495
Cuckoo,6,RRRRRR,12,1,1,1,626
Cuckoo,6,RRRRRR,12,2,1,1,626
Cuckoo,6,RRRRRR,12,3,1,1,626
Cuckoo,6,RRRRRR,12,4,1,1,626
Cuckoo,6,RRRRRR,12,5,1,1,626
Cuckoo,6,RRRRRR,12,6,0,6,626
Cuckoo,6,RRRRRR,13,1,1,1,622
Cuckoo,6,RRRRRR,13,2,0,6,622
Cuckoo,6,RRRRRR,13,3,1,1,622
Cuckoo,6,RRRRRR,13,4,1,1,622
Cuckoo,6,RRRRRR,13,5,1,1,622
Cuckoo,6,RRRRRR,13,6,1,1,622
Cuckoo,6,RRRRRR,14,1,1,1,689
Cuckoo,6,RRRRRR,14,2,0,6,689
Cuckoo,6,RRRRRR,14,3,1,1,689
Cuckoo,6,RRRRRR,14,4,1,1,689
Cuckoo,6,RRRRRR,14,5,1,1,689
Cuckoo,6,RRRRRR,14,6,1,1,689
Cuckoo,6,RRRRRR,15,1,1,1,590
Cuckoo,6,RRRRRR,15,2,0,6,590
Cuckoo,6,RRRRRR,15,3,1,1,590
Cuckoo,6,RRRRRR,15,4,1,1,590
Cuckoo,6,RRRRRR,15,5,1,1,590
Cuckoo,6,RRRRRR,15,6,1,1,590
Cuckoo,6,RRRRRR,16,1,1,1,593
