game,numPlayers,ai,run,move,player,choices,choice,time
Goofspiel,2,PR,1,1,1,13,1,4333
Goofspiel,2,PR,1,2,2,13,11,0
Goofspiel,2,PR,1,3,1,12,8,3437
Goofspiel,2,PR,1,4,2,12,2,0
Goofspiel,2,PR,1,5,1,11,2,2672
Goofspiel,2,PR,1,6,2,11,7,0
Goofspiel,2,PR,1,7,1,10,1,2077
Goofspiel,2,PR,1,8,2,10,8,0
Goofspiel,2,PR,1,9,1,9,9,1555
Goofspiel,2,PR,1,10,2,9,1,0
Goofspiel,2,PR,1,11,1,8,8,1119
Goofspiel,2,PR,1,12,2,8,7,0
Goofspiel,2,PR,1,13,1,7,7,819
Goofspiel,2,PR,1,14,2,7,3,0
Goofspiel,2,PR,1,15,1,6,1,579
Goofspiel,2,PR,1,16,2,6,4,0
Goofspiel,2,PR,1,17,1,5,5,408
Goofspiel,2,PR,1,18,2,5,4,0
Goofspiel,2,PR,1,19,1,4,1,260
Goofspiel,2,PR,1,20,2,4,4,0
Goofspiel,2,PR,1,21,1,3,1,151
Goofspiel,2,PR,1,22,2,3,3,0
Goofspiel,2,PR,1,23,1,2,1,83
Goofspiel,2,PR,1,24,2,2,2,0
Goofspiel,2,PR,1,25,1,1,1,0
Goofspiel,2,PR,1,26,2,1,1,0
Goofspiel,2,PR,2,1,1,13,13,4264
Goofspiel,2,PR,2,2,2,13,12,0
Goofspiel,2,PR,2,3,1,12,1,3353
Goofspiel,2,PR,2,4,2,12,12,0
Goofspiel,2,PR,2,5,1,11,1,2576
Goofspiel,2,PR,2,6,2,11,4,0
Goofspiel,2,PR,2,7,1,10,10,2017
Goofspiel,2,PR,2,8,2,10,3,0
Goofspiel,2,PR,2,9,1,9,2,1530
Goofspiel,2,PR,2,10,2,9,6,0
Goofspiel,2,PR,2,11,1,8,2,1108
Goofspiel,2,PR,2,12,2,8,5,0
Goofspiel,2,PR,2,13,1,7,7,821
Goofspiel,2,PR,2,14,2,7,5,0
Goofspiel,2,PR,2,15,1,6,1,544
Goofspiel,2,PR,2,16,2,6,6,0
Goofspiel,2,PR,2,17,1,5,5,383
Goofspiel,2,PR,2,18,2,5,1,0
Goofspiel,2,PR,2,19,1,4,1,245
Goofspiel,2,PR,2,20,2,4,3,0
Goofspiel,2,PR,2,21,1,3,3,142
Goofspiel,2,PR,2,22,2,3,3,0
Goofspiel,2,PR,2,23,1,2,1,88
Goofspiel,2,PR,2,24,2,2,1,0
Goofspiel,2,PR,2,25,1,1,1,0
Goofspiel,2,PR,2,26,2,1,1,0
Goofspiel,2,PR,3,1,1,13,1,4293
Goofspiel,2,PR,3,2,2,13,7,0
Goofspiel,2,PR,3,3,1,12,10,3377
Goofspiel,2,PR,3,4,2,12,10,0
Goofspiel,2,PR,3,5,1,11,11,2617
Goofspiel,2,PR,3,6,2,11,1,0
Goofspiel,2,PR,3,7,1,10,1,1964
Goofspiel,2,PR,3,8,2,10,2,0
Goofspiel,2,PR,3,9,1,9,9,1508
Goofspiel,2,PR,3,10,2,9,4,0
Goofspiel,2,PR,3,11,1,8,8,1115
Goofspiel,2,PR,3,12,2,8,3,0
Goofspiel,2,PR,3,13,1,7,2,811
Goofspiel,2,PR,3,14,2,7,7,0
Goofspiel,2,PR,3,15,1,6,1,546
Goofspiel,2,PR,3,16,2,6,2,0
Goofspiel,2,PR,3,17,1,5,3,403
Goofspiel,2,PR,3,18,2,5,1,0
Goofspiel,2,PR,3,19,1,4,2,251
Goofspiel,2,PR,3,20,2,4,4,0
Goofspiel,2,PR,3,21,1,3,3,146
Goofspiel,2,PR,3,22,2,3,1,0
Goofspiel,2,PR,3,23,1,2,1,81
Goofspiel,2,PR,3,24,2,2,1,0
Goofspiel,2,PR,3,25,1,1,1,0
Goofspiel,2,PR,3,26,2,1,1,0
Goofspiel,2,PR,4,1,1,13,2,4204
Goofspiel,2,PR,4,2,2,13,6,0
Goofspiel,2,PR,4,3,1,12,7,3187
Goofspiel,2,PR,4,4,2,12,1,0
Goofspiel,2,PR,4,5,1,11,11,2615
Goofspiel,2,PR,4,6,2,11,6,0
Goofspiel,2,PR,4,7,1,10,1,1931
Goofspiel,2,PR,4,8,2,10,8,0
Goofspiel,2,PR,4,9,1,9,2,1506
Goofspiel,2,PR,4,10,2,9,3,0
Goofspiel,2,PR,4,11,1,8,8,1115
Goofspiel,2,PR,4,12,2,8,7,0
Goofspiel,2,PR,4,13,1,7,7,802
Goofspiel,2,PR,4,14,2,7,4,0
Goofspiel,2,PR,4,15,1,6,1,539
Goofspiel,2,PR,4,16,2,6,1,0
Goofspiel,2,PR,4,17,1,5,3,356
Goofspiel,2,PR,4,18,2,5,3,0
Goofspiel,2,PR,4,19,1,4,1,256
Goofspiel,2,PR,4,20,2,4,1,0
Goofspiel,2,PR,4,21,1,3,3,150
Goofspiel,2,PR,4,22,2,3,1,0
Goofspiel,2,PR,4,23,1,2,1,79
Goofspiel,2,PR,4,24,2,2,1,0
Goofspiel,2,PR,4,25,1,1,1,0
Goofspiel,2,PR,4,26,2,1,1,0
Goofspiel,2,PR,5,1,1,13,13,4207
Goofspiel,2,PR,5,2,2,13,9,0
Goofspiel,2,PR,5,3,1,12,1,3300
Goofspiel,2,PR,5,4,2,12,3,0
Goofspiel,2,PR,5,5,1,11,3,2613
Goofspiel,2,PR,5,6,2,11,5,0
Goofspiel,2,PR,5,7,1,10,1,1969
Goofspiel,2,PR,5,8,2,10,6,0
Goofspiel,2,PR,5,9,1,9,1,1488
Goofspiel,2,PR,5,10,2,9,6,0
Goofspiel,2,PR,5,11,1,8,8,1126
Goofspiel,2,PR,5,12,2,8,4,0
Goofspiel,2,PR,5,13,1,7,7,787
Goofspiel,2,PR,5,14,2,7,7,0
Goofspiel,2,PR,5,15,1,6,1,536
Goofspiel,2,PR,5,16,2,6,2,0
Goofspiel,2,PR,5,17,1,5,2,376
Goofspiel,2,PR,5,18,2,5,4,0
Goofspiel,2,PR,5,19,1,4,3,251
Goofspiel,2,PR,5,20,2,4,4,0
Goofspiel,2,PR,5,21,1,3,1,152
Goofspiel,2,PR,5,22,2,3,1,0
Goofspiel,2,PR,5,23,1,2,1,77
Goofspiel,2,PR,5,24,2,2,2,0
Goofspiel,2,PR,5,25,1,1,1,0
Goofspiel,2,PR,5,26,2,1,1,0
Goofspiel,2,PR,6,1,1,13,1,4040
Goofspiel,2,PR,6,2,2,13,11,0
Goofspiel,2,PR,6,3,1,12,3,3218
Goofspiel,2,PR,6,4,2,12,12,0
Goofspiel,2,PR,6,5,1,11,1,2520
Goofspiel,2,PR,6,6,2,11,5,0
