game,numPlayers,ai,run,player,score,rank,time
Goofspiel,2,PR,1,1,71,1,18425
Goofspiel,2,PR,1,2,20,2,18425
Goofspiel,2,PR,2,1,58,1,17960
Goofspiel,2,PR,2,2,33,2,17960
Goofspiel,2,PR,3,1,61,1,18032
Goofspiel,2,PR,3,2,30,2,18032
Goofspiel,2,PR,4,1,62,1,17656
Goofspiel,2,PR,4,2,29,2,17656
Goofspiel,2,PR,5,1,49,1,17783
Goofspiel,2,PR,5,2,42,2,17783
Goofspiel,2,PR,6,1,58,1,17435
Goofspiel,2,PR,6,2,33,2,17435
Goofspiel,2,PR,7,1,54,1,17546
Goofspiel,2,PR,7,2,37,2,17546
Goofspiel,2,PR,8,1,54,1,17671
Goofspiel,2,PR,8,2,37,2,17671
Goofspiel,2,PR,9,1,71,1,17643
Goofspiel,2,PR,9,2,20,2,17643
Goofspiel,2,PR,10,1,56,1,17954
Goofspiel,2,PR,10,2,35,2,17954
Goofspiel,2,PR,11,1,56,1,17844
Goofspiel,2,PR,11,2,35,2,17844
Goofspiel,2,PR,12,1,47,1,17651
Goofspiel,2,PR,12,2,44,2,17651
Goofspiel,2,PR,13,1,45,2,17560
Goofspiel,2,PR,13,2,46,1,17560
Goofspiel,2,PR,14,1,64,1,17546
Goofspiel,2,PR,14,2,27,2,17546
Goofspiel,2,PR,15,1,70,1,17655
Goofspiel,2,PR,15,2,21,2,17655
Goofspiel,2,PR,16,1,57,1,17896
Goofspiel,2,PR,16,2,34,2,17896
Goofspiel,2,PR,17,1,39,2,17767
Goofspiel,2,PR,17,2,52,1,17767
Goofspiel,2,PR,18,1,48,1,17644
Goofspiel,2,PR,18,2,43,2,17644
Goofspiel,2,PR,19,1,60,1,17547
Goofspiel,2,PR,19,2,31,2,17547
Goofspiel,2,PR,20,1,52,1,17654
Goofspiel,2,PR,20,2,39,2,17654
Goofspiel,2,PR,21,1,36,2,17894
Goofspiel,2,PR,21,2,55,1,17894
Goofspiel,2,PR,22,1,65,1,17568
Goofspiel,2,PR,22,2,26,2,17568
Goofspiel,2,PR,23,1,40,2,17835
Goofspiel,2,PR,23,2,51,1,17835
Goofspiel,2,PR,24,1,55,1,17810
Goofspiel,2,PR,24,2,36,2,17810
Goofspiel,2,PR,25,1,41,2,17878
Goofspiel,2,PR,25,2,50,1,17878
Goofspiel,2,PR,26,1,40,2,17689
Goofspiel,2,PR,26,2,51,1,17689
Goofspiel,2,PR,27,1,65,1,17916
Goofspiel,2,PR,27,2,26,2,17916
Goofspiel,2,PR,28,1,49,1,17881
Goofspiel,2,PR,28,2,42,2,17881
Goofspiel,2,PR,29,1,68,1,17776
Goofspiel,2,PR,29,2,23,2,17776
Goofspiel,2,PR,30,1,61,1,17686
Goofspiel,2,PR,30,2,30,2,17686
Goofspiel,2,PR,31,1,62,1,17656
Goofspiel,2,PR,31,2,29,2,17656
Goofspiel,2,PR,32,1,69,1,17825
Goofspiel,2,PR,32,2,22,2,17825
Goofspiel,2,PR,33,1,57,1,17867
Goofspiel,2,PR,33,2,34,2,17867
Goofspiel,2,PR,34,1,57,1,17828
Goofspiel,2,PR,34,2,34,2,17828
Goofspiel,2,PR,35,1,70,1,17849
Goofspiel,2,PR,35,2,21,2,17849
Goofspiel,2,PR,36,1,39,2,17673
Goofspiel,2,PR,36,2,52,1,17673
Goofspiel,2,PR,37,1,65,1,17716
Goofspiel,2,PR,37,2,26,2,17716
Goofspiel,2,PR,38,1,68,1,17782
Goofspiel,2,PR,38,2,23,2,17782
Goofspiel,2,PR,39,1,53,1,17851
Goofspiel,2,PR,39,2,38,2,17851
Goofspiel,2,PR,40,1,67,1,17899
Goofspiel,2,PR,40,2,24,2,17899
Goofspiel,2,PR,41,1,51,1,17681
Goofspiel,2,PR,41,2,35,2,17681
Goofspiel,2,PR,42,1,55,1,17567
Goofspiel,2,PR,42,2,33,2,17567
Goofspiel,2,PR,43,1,78,1,18008
