game,numPlayers,ai,run,move,player,choices,choice,time
Goofspiel,2,RR,1,1,1,13,10,0
Goofspiel,2,RR,1,2,2,13,5,0
Goofspiel,2,RR,1,3,1,12,2,0
Goofspiel,2,RR,1,4,2,12,6,0
Goofspiel,2,RR,1,5,1,11,8,0
Goofspiel,2,RR,1,6,2,11,6,0
Goofspiel,2,RR,1,7,1,10,8,0
Goofspiel,2,RR,1,8,2,10,8,0
Goofspiel,2,RR,1,9,1,9,3,0
Goofspiel,2,RR,1,10,2,9,5,0
Goofspiel,2,RR,1,11,1,8,3,0
Goofspiel,2,RR,1,12,2,8,2,0
Goofspiel,2,RR,1,13,1,7,6,0
Goofspiel,2,RR,1,14,2,7,2,0
Goofspiel,2,RR,1,15,1,6,6,0
Goofspiel,2,RR,1,16,2,6,1,0
Goofspiel,2,RR,1,17,1,5,4,0
Goofspiel,2,RR,1,18,2,5,3,0
Goofspiel,2,RR,1,19,1,4,1,0
Goofspiel,2,RR,1,20,2,4,3,0
Goofspiel,2,RR,1,21,1,3,2,0
Goofspiel,2,RR,1,22,2,3,2,0
Goofspiel,2,RR,1,23,1,2,1,0
Goofspiel,2,RR,1,24,2,2,1,0
Goofspiel,2,RR,1,25,1,1,1,0
Goofspiel,2,RR,1,26,2,1,1,0
Goofspiel,2,RR,2,1,1,13,7,0
Goofspiel,2,RR,2,2,2,13,9,0
Goofspiel,2,RR,2,3,1,12,5,0
Goofspiel,2,RR,2,4,2,12,11,0
Goofspiel,2,RR,2,5,1,11,8,0
Goofspiel,2,RR,2,6,2,11,9,0
Goofspiel,2,RR,2,7,1,10,1,0
Goofspiel,2,RR,2,8,2,10,5,0
Goofspiel,2,RR,2,9,1,9,1,0
Goofspiel,2,RR,2,10,2,9,4,0
Goofspiel,2,RR,2,11,1,8,5,0
Goofspiel,2,RR,2,12,2,8,5,0
Goofspiel,2,RR,2,13,1,7,1,0
Goofspiel,2,RR,2,14,2,7,6,0
Goofspiel,2,RR,2,15,1,6,6,0
Goofspiel,2,RR,2,16,2,6,2,0
Goofspiel,2,RR,2,17,1,5,3,0
Goofspiel,2,RR,2,18,2,5,3,0
Goofspiel,2,RR,2,19,1,4,1,0
Goofspiel,2,RR,2,20,2,4,1,0
Goofspiel,2,RR,2,21,1,3,2,0
Goofspiel,2,RR,2,22,2,3,1,0
Goofspiel,2,RR,2,23,1,2,1,0
Goofspiel,2,RR,2,24,2,2,2,0
Goofspiel,2,RR,2,25,1,1,1,0
Goofspiel,2,RR,2,26,2,1,1,0
Goofspiel,2,RR,3,1,1,13,11,0
Goofspiel,2,RR,3,2,2,13,7,0
Goofspiel,2,RR,3,3,1,12,4,0
Goofspiel,2,RR,3,4,2,12,12,0
Goofspiel,2,RR,3,5,1,11,5,0
Goofspiel,2,RR,3,6,2,11,10,0
Goofspiel,2,RR,3,7,1,10,10,0
Goofspiel,2,RR,3,8,2,10,10,0
Goofspiel,2,RR,3,9,1,9,1,0
Goofspiel,2,RR,3,10,2,9,3,0
Goofspiel,2,RR,3,11,1,8,3,0
Goofspiel,2,RR,3,12,2,8,7,0
Goofspiel,2,RR,3,13,1,7,2,0
Goofspiel,2,RR,3,14,2,7,7,0
Goofspiel,2,RR,3,15,1,6,3,0
Goofspiel,2,RR,3,16,2,6,4,0
Goofspiel,2,RR,3,17,1,5,4,0
Goofspiel,2,RR,3,18,2,5,4,0
Goofspiel,2,RR,3,19,1,4,2,0
Goofspiel,2,RR,3,20,2,4,4,0
Goofspiel,2,RR,3,21,1,3,1,0
Goofspiel,2,RR,3,22,2,3,2,0
Goofspiel,2,RR,3,23,1,2,1,0
Goofspiel,2,RR,3,24,2,2,2,0
Goofspiel,2,RR,3,25,1,1,1,0
Goofspiel,2,RR,3,26,2,1,1,0
Goofspiel,2,RR,4,1,1,13,7,0
Goofspiel,2,RR,4,2,2,13,5,0
Goofspiel,2,RR,4,3,1,12,7,0
Goofspiel,2,RR,4,4,2,12,5,0
Goofspiel,2,RR,4,5,1,11,9,0
Goofspiel,2,RR,4,6,2,11,6,0
Goofspiel,2,RR,4,7,1,10,8,0
Goofspiel,2,RR,4,8,2,10,2,0
Goofspiel,2,RR,4,9,1,9,1,0
Goofspiel,2,RR,4,10,2,9,1,0
Goofspiel,2,RR,4,11,1,8,4,0
Goofspiel,2,RR,4,12,2,8,3,0
Goofspiel,2,RR,4,13,1,7,5,0
Goofspiel,2,RR,4,14,2,7,4,0
Goofspiel,2,RR,4,15,1,6,3,0
Goofspiel,2,RR,4,16,2,6,5,0
Goofspiel,2,RR,4,17,1,5,4,0
Goofspiel,2,RR,4,18,2,5,2,0
Goofspiel,2,RR,4,19,1,4,3,0
Goofspiel,2,RR,4,20,2,4,3,0
Goofspiel,2,RR,4,21,1,3,3,0
Goofspiel,2,RR,4,22,2,3,3,0
Goofspiel,2,RR,4,23,1,2,1,0
Goofspiel,2,RR,4,24,2,2,1,0
Goofspiel,2,RR,4,25,1,1,1,0
Goofspiel,2,RR,4,26,2,1,1,0
Goofspiel,2,RR,5,1,1,13,12,0
Goofspiel,2,RR,5,2,2,13,11,0
Goofspiel,2,RR,5,3,1,12,9,0
Goofspiel,2,RR,5,4,2,12,2,0
Goofspiel,2,RR,5,5,1,11,9,0
Goofspiel,2,RR,5,6,2,11,2,0
Goofspiel,2,RR,5,7,1,10,2,0
Goofspiel,2,RR,5,8,2,10,9,0
Goofspiel,2,RR,5,9,1,9,1,0
Goofspiel,2,RR,5,10,2,9,3,0
Goofspiel,2,RR,5,11,1,8,3,0
Goofspiel,2,RR,5,12,2,8,3,0
Goofspiel,2,RR,5,13,1,7,3,0
Goofspiel,2,RR,5,14,2,7,6,0
Goofspiel,2,RR,5,15,1,6,4,0
Goofspiel,2,RR,5,16,2,6,4,0
Goofspiel,2,RR,5,17,1,5,4,0
Goofspiel,2,RR,5,18,2,5,4,0
