game,numPlayers,ai,run,player,score,rank,time
Goofspiel,2,RR,1,1,41,2,842
Goofspiel,2,RR,1,2,50,1,842
Goofspiel,2,RR,2,1,46,1,864
Goofspiel,2,RR,2,2,45,2,864
Goofspiel,2,RR,3,1,36,2,852
Goofspiel,2,RR,3,2,55,1,852
Goofspiel,2,RR,4,1,41,2,841
Goofspiel,2,RR,4,2,50,1,841
Goofspiel,2,RR,5,1,53,1,849
Goofspiel,2,RR,5,2,38,2,849
Goofspiel,2,RR,6,1,61,1,838
Goofspiel,2,RR,6,2,30,2,838
Goofspiel,2,RR,7,1,45,2,866
Goofspiel,2,RR,7,2,46,1,866
Goofspiel,2,RR,8,1,26,2,853
Goofspiel,2,RR,8,2,65,1,853
Goofspiel,2,RR,9,1,41,2,832
Goofspiel,2,RR,9,2,50,1,832
Goofspiel,2,RR,10,1,52,1,841
Goofspiel,2,RR,10,2,39,2,841
Goofspiel,2,RR,11,1,39,2,844
Goofspiel,2,RR,11,2,52,1,844
Goofspiel,2,RR,12,1,36,2,835
Goofspiel,2,RR,12,2,55,1,835
Goofspiel,2,RR,13,1,33,2,846
Goofspiel,2,RR,13,2,58,1,846
Goofspiel,2,RR,14,1,44,2,833
Goofspiel,2,RR,14,2,47,1,833
Goofspiel,2,RR,15,1,61,1,836
Goofspiel,2,RR,15,2,30,2,836
Goofspiel,2,RR,16,1,43,2,867
Goofspiel,2,RR,16,2,48,1,867
Goofspiel,2,RR,17,1,59,1,845
Goofspiel,2,RR,17,2,32,2,845
Goofspiel,2,RR,18,1,37,2,854
Goofspiel,2,RR,18,2,54,1,854
Goofspiel,2,RR,19,1,42,2,845
Goofspiel,2,RR,19,2,49,1,845
Goofspiel,2,RR,20,1,62,1,872
Goofspiel,2,RR,20,2,29,2,872
Goofspiel,2,RR,21,1,48,1,878
Goofspiel,2,RR,21,2,43,2,878
Goofspiel,2,RR,22,1,48,1,840
Goofspiel,2,RR,22,2,43,2,840
Goofspiel,2,RR,23,1,33,2,835
Goofspiel,2,RR,23,2,58,1,835
Goofspiel,2,RR,24,1,56,1,840
Goofspiel,2,RR,24,2,35,2,840
Goofspiel,2,RR,25,1,47,1,847
Goofspiel,2,RR,25,2,42,2,847
Goofspiel,2,RR,26,1,37,2,832
Goofspiel,2,RR,26,2,54,1,832
Goofspiel,2,RR,27,1,36,2,839
Goofspiel,2,RR,27,2,55,1,839
Goofspiel,2,RR,28,1,35,2,831
Goofspiel,2,RR,28,2,56,1,831
Goofspiel,2,RR,29,1,50,1,836
Goofspiel,2,RR,29,2,41,2,836
Goofspiel,2,RR,30,1,41,2,838
Goofspiel,2,RR,30,2,50,1,838
Goofspiel,2,RR,31,1,53,1,832
Goofspiel,2,RR,31,2,38,2,832
Goofspiel,2,RR,32,1,38,2,850
Goofspiel,2,RR,32,2,53,1,850
Goofspiel,2,RR,33,1,50,1,880
Goofspiel,2,RR,33,2,41,2,880
Goofspiel,2,RR,34,1,54,1,846
Goofspiel,2,RR,34,2,37,2,846
Goofspiel,2,RR,35,1,51,1,846
Goofspiel,2,RR,35,2,40,2,846
Goofspiel,2,RR,36,1,51,1,843
Goofspiel,2,RR,36,2,40,2,843
Goofspiel,2,RR,37,1,38,2,833
Goofspiel,2,RR,37,2,53,1,833
Goofspiel,2,RR,38,1,34,2,834
Goofspiel,2,RR,38,2,57,1,834
Goofspiel,2,RR,39,1,36,2,835
Goofspiel,2,RR,39,2,45,1,835
Goofspiel,2,RR,40,1,40,2,842
Goofspiel,2,RR,40,2,51,1,842
Goofspiel,2,RR,41,1,49,1,834
Goofspiel,2,RR,41,2,34,2,834
Goofspiel,2,RR,42,1,57,1,832
Goofspiel,2,RR,42,2,34,2,832
Goofspiel,2,RR,43,1,50,1,835
Goofspiel,2,RR,43,2,41,2,835
Goofspiel,2,RR,44,1,36,2,839
Goofspiel,2,RR,44,2,55,1,839
Goofspiel,2,RR,45,1,56,1,846
Goofspiel,2,RR,45,2,35,2,846
Goofspiel,2,RR,46,1,66,1,855
Goofspiel,2,RR,46,2,25,2,855
Goofspiel,2,RR,47,1,53,1,899
Goofspiel,2,RR,47,2,38,2,899
Goofspiel,2,RR,48,1,52,1,946
Goofspiel,2,RR,48,2,39,2,946
Goofspiel,2,RR,49,1,59,1,878
Goofspiel,2,RR,49,2,32,2,878
Goofspiel,2,RR,50,1,35,2,927
Goofspiel,2,RR,50,2,56,1,927
Goofspiel,2,RR,51,1,43,2,959
Goofspiel,2,RR,51,2,48,1,959
Goofspiel,2,RR,52,1,43,2,892
Goofspiel,2,RR,52,2,48,1,892
Goofspiel,2,RR,53,1,40,2,896
Goofspiel,2,RR,53,2,51,1,896
Goofspiel,2,RR,54,1,42,2,948
Goofspiel,2,RR,54,2,49,1,948
Goofspiel,2,RR,55,1,52,1,951
Goofspiel,2,RR,55,2,30,2,951
Goofspiel,2,RR,56,1,59,1,887
Goofspiel,2,RR,56,2,32,2,887
Goofspiel,2,RR,57,1,42,1,948
Goofspiel,2,RR,57,2,37,2,948
Goofspiel,2,RR,58,1,42,2,923
Goofspiel,2,RR,58,2,49,1,923
Goofspiel,2,RR,59,1,16,2,867
Goofspiel,2,RR,59,2,75,1,867
Goofspiel,2,RR,60,1,38,2,925
Goofspiel,2,RR,60,2,53,1,925
Goofspiel,2,RR,61,1,59,1,939
Goofspiel,2,RR,61,2,32,2,939
Goofspiel,2,RR,62,1,41,2,860
Goofspiel,2,RR,62,2,50,1,860
Goofspiel,2,RR,63,1,57,1,892
