game,numPlayers,ai,run,move,player,choices,choice,time
Golf6,4,PRRR,1,1,1,6,4,3182
Golf6,4,PRRR,1,2,1,5,5,2682
Golf6,4,PRRR,1,3,2,6,4,0
Golf6,4,PRRR,1,4,2,5,2,0
Golf6,4,PRRR,1,5,3,6,4,0
Golf6,4,PRRR,1,6,3,5,3,0
Golf6,4,PRRR,1,7,4,6,3,0
Golf6,4,PRRR,1,8,4,5,4,0
Golf6,4,PRRR,1,9,1,2,2,1042
Golf6,4,PRRR,1,10,1,7,4,3399
Golf6,4,PRRR,1,11,2,2,2,0
Golf6,4,PRRR,1,12,2,7,6,0
Golf6,4,PRRR,1,13,3,2,1,0
Golf6,4,PRRR,1,14,3,6,1,0
Golf6,4,PRRR,1,15,4,2,2,0
Golf6,4,PRRR,1,16,4,7,3,0
Golf6,4,PRRR,1,17,1,2,2,849
Golf6,4,PRRR,1,18,1,7,1,2785
Golf6,4,PRRR,1,19,2,2,1,0
Golf6,4,PRRR,1,20,2,6,2,0
Golf6,4,PRRR,1,21,3,2,2,0
Golf6,4,PRRR,1,22,3,7,5,0
Golf6,4,PRRR,1,23,4,2,1,0
Golf6,4,PRRR,1,24,4,6,2,0
Golf6,4,PRRR,1,25,1,2,1,860
Golf6,4,PRRR,1,26,1,6,1,2378
Golf6,4,PRRR,1,27,2,2,2,0
Golf6,4,PRRR,1,28,2,7,7,0
Golf6,4,PRRR,1,29,3,2,1,0
Golf6,4,PRRR,1,30,3,6,1,0
Golf6,4,PRRR,1,31,4,2,1,0
Golf6,4,PRRR,1,32,4,6,4,0
Golf6,4,PRRR,1,33,1,2,2,682
Golf6,4,PRRR,1,34,1,7,6,2180
Golf6,4,PRRR,1,35,2,2,1,0
Golf6,4,PRRR,1,36,2,6,4,0
Golf6,4,PRRR,1,37,3,2,2,0
Golf6,4,PRRR,1,38,3,7,1,0
Golf6,4,PRRR,1,39,4,2,1,0
Golf6,4,PRRR,1,40,4,6,2,0
Golf6,4,PRRR,1,41,1,2,2,565
Golf6,4,PRRR,1,42,1,7,3,1747
Golf6,4,PRRR,2,1,1,6,2,3203
Golf6,4,PRRR,2,2,1,5,4,2711
Golf6,4,PRRR,2,3,2,6,5,0
Golf6,4,PRRR,2,4,2,5,1,0
Golf6,4,PRRR,2,5,3,6,6,0
Golf6,4,PRRR,2,6,3,5,3,0
Golf6,4,PRRR,2,7,4,6,3,0
Golf6,4,PRRR,2,8,4,5,5,0
Golf6,4,PRRR,2,9,1,2,1,1049
Golf6,4,PRRR,2,10,1,6,6,2979
Golf6,4,PRRR,2,11,2,2,2,0
Golf6,4,PRRR,2,12,2,7,4,0
Golf6,4,PRRR,2,13,3,2,2,0
Golf6,4,PRRR,2,14,3,7,3,0
Golf6,4,PRRR,2,15,4,2,1,0
Golf6,4,PRRR,2,16,4,6,6,0
Golf6,4,PRRR,2,17,1,2,1,922
Golf6,4,PRRR,2,18,1,6,1,2536
Golf6,4,PRRR,2,19,2,2,1,0
Golf6,4,PRRR,2,20,2,6,4,0
Golf6,4,PRRR,2,21,3,2,1,0
Golf6,4,PRRR,2,22,3,6,6,0
Golf6,4,PRRR,2,23,4,2,2,0
Golf6,4,PRRR,2,24,4,7,4,0
Golf6,4,PRRR,2,25,1,2,1,751
Golf6,4,PRRR,2,26,1,6,3,2085
