game,numPlayers,ai,run,player,score,rank,time
Golf6,4,PRRR,1,1,52,1,24525
Golf6,4,PRRR,1,2,21,4,24525
Golf6,4,PRRR,1,3,33,2,24525
Golf6,4,PRRR,1,4,25,3,24525
Golf6,4,PRRR,2,1,53,2,20036
Golf6,4,PRRR,2,2,45,3,20036
Golf6,4,PRRR,2,3,55,1,20036
Golf6,4,PRRR,2,4,37,4,20036
Golf6,4,PRRR,3,1,56,1,26777
Golf6,4,PRRR,3,2,31,4,26777
Golf6,4,PRRR,3,3,35,3,26777
Golf6,4,PRRR,3,4,48,2,26777
Golf6,4,PRRR,4,1,56,1,20193
Golf6,4,PRRR,4,2,30,4,20193
Golf6,4,PRRR,4,3,52,2,20193
Golf6,4,PRRR,4,4,40,3,20193
Golf6,4,PRRR,5,1,55,1,25217
Golf6,4,PRRR,5,2,35,2,25217
Golf6,4,PRRR,5,3,20,4,25217
Golf6,4,PRRR,5,4,30,3,25217
Golf6,4,PRRR,6,1,47,2,20838
Golf6,4,PRRR,6,2,42,3,20838
Golf6,4,PRRR,6,3,42,3,20838
Golf6,4,PRRR,6,4,50,1,20838
Golf6,4,PRRR,7,1,59,1,19863
Golf6,4,PRRR,7,2,32,3,19863
Golf6,4,PRRR,7,3,14,4,19863
Golf6,4,PRRR,7,4,50,2,19863
Golf6,4,PRRR,8,1,60,1,24914
Golf6,4,PRRR,8,2,42,3,24914
Golf6,4,PRRR,8,3,44,2,24914
Golf6,4,PRRR,8,4,32,4,24914
Golf6,4,PRRR,9,1,58,1,22662
Golf6,4,PRRR,9,2,20,4,22662
Golf6,4,PRRR,9,3,41,3,22662
Golf6,4,PRRR,9,4,43,2,22662
Golf6,4,PRRR,10,1,52,1,28936
Golf6,4,PRRR,10,2,20,4,28936
Golf6,4,PRRR,10,3,39,2,28936
Golf6,4,PRRR,10,4,29,3,28936
Golf6,4,PRRR,11,1,55,1,21522
Golf6,4,PRRR,11,2,20,4,21522
Golf6,4,PRRR,11,3,32,3,21522
Golf6,4,PRRR,11,4,45,2,21522
Golf6,4,PRRR,12,1,58,1,25324
Golf6,4,PRRR,12,2,37,3,25324
Golf6,4,PRRR,12,3,38,2,25324
Golf6,4,PRRR,12,4,31,4,25324
Golf6,4,PRRR,13,1,58,1,27205
Golf6,4,PRRR,13,2,31,4,27205
Golf6,4,PRRR,13,3,34,3,27205
Golf6,4,PRRR,13,4,39,2,27205
Golf6,4,PRRR,14,1,53,1,20973
Golf6,4,PRRR,14,2,34,3,20973
Golf6,4,PRRR,14,3,42,2,20973
Golf6,4,PRRR,14,4,27,4,20973
Golf6,4,PRRR,15,1,58,1,23504
Golf6,4,PRRR,15,2,37,2,23504
Golf6,4,PRRR,15,3,37,2,23504
Golf6,4,PRRR,15,4,29,4,23504
Golf6,4,PRRR,16,1,54,1,22672
Golf6,4,PRRR,16,2,42,3,22672
Golf6,4,PRRR,16,3,41,4,22672
Golf6,4,PRRR,16,4,51,2,22672
Golf6,4,PRRR,17,1,52,1,26774
Golf6,4,PRRR,17,2,28,3,26774
Golf6,4,PRRR,17,3,41,2,26774
Golf6,4,PRRR,17,4,22,4,26774
Golf6,4,PRRR,18,1,60,1,21896
Golf6,4,PRRR,18,2,54,2,21896
Golf6,4,PRRR,18,3,15,4,21896
Golf6,4,PRRR,18,4,32,3,21896
Golf6,4,PRRR,19,1,51,1,29221
Golf6,4,PRRR,19,2,37,3,29221
Golf6,4,PRRR,19,3,21,4,29221
Golf6,4,PRRR,19,4,42,2,29221
Golf6,4,PRRR,20,1,54,1,29583
Golf6,4,PRRR,20,2,51,2,29583
Golf6,4,PRRR,20,3,37,4,29583
Golf6,4,PRRR,20,4,39,3,29583
Golf6,4,PRRR,21,1,47,1,25048
Golf6,4,PRRR,21,2,27,4,25048
Golf6,4,PRRR,21,3,40,2,25048
Golf6,4,PRRR,21,4,30,3,25048
Golf6,4,PRRR,22,1,48,1,21398
Golf6,4,PRRR,22,2,39,3,21398
Golf6,4,PRRR,22,3,30,4,21398
Golf6,4,PRRR,22,4,46,2,21398
Golf6,4,PRRR,23,1,52,1,22440
Golf6,4,PRRR,23,2,35,3,22440
Golf6,4,PRRR,23,3,23,4,22440
Golf6,4,PRRR,23,4,36,2,22440
Golf6,4,PRRR,24,1,44,1,23024
Golf6,4,PRRR,24,2,30,3,23024
Golf6,4,PRRR,24,3,36,2,23024
Golf6,4,PRRR,24,4,16,4,23024
Golf6,4,PRRR,25,1,58,1,21695
Golf6,4,PRRR,25,2,40,3,21695
Golf6,4,PRRR,25,3,36,4,21695
Golf6,4,PRRR,25,4,42,2,21695
Golf6,4,PRRR,26,1,49,2,22529
Golf6,4,PRRR,26,2,50,1,22529
Golf6,4,PRRR,26,3,48,3,22529
Golf6,4,PRRR,26,4,17,4,22529
Golf6,4,PRRR,27,1,51,1,27916
Golf6,4,PRRR,27,2,34,4,27916
Golf6,4,PRRR,27,3,47,2,27916
Golf6,4,PRRR,27,4,45,3,27916
Golf6,4,PRRR,28,1,57,1,25370
Golf6,4,PRRR,28,2,38,2,25370
Golf6,4,PRRR,28,3,6,4,25370
Golf6,4,PRRR,28,4,31,3,25370
Golf6,4,PRRR,29,1,52,2,23324
Golf6,4,PRRR,29,2,45,3,23324
Golf6,4,PRRR,29,3,34,4,23324
Golf6,4,PRRR,29,4,54,1,23324
Golf6,4,PRRR,30,1,52,1,24560
Golf6,4,PRRR,30,2,22,4,24560
Golf6,4,PRRR,30,3,41,2,24560
Golf6,4,PRRR,30,4,36,3,24560
Golf6,4,PRRR,31,1,62,1,25957
Golf6,4,PRRR,31,2,21,4,25957
Golf6,4,PRRR,31,3,50,2,25957
Golf6,4,PRRR,31,4,22,3,25957
Golf6,4,PRRR,32,1,51,1,22342
Golf6,4,PRRR,32,2,32,3,22342
Golf6,4,PRRR,32,3,44,2,22342
Golf6,4,PRRR,32,4,30,4,22342
Golf6,4,PRRR,33,1,50,2,20931
Golf6,4,PRRR,33,2,33,4,20931
Golf6,4,PRRR,33,3,54,1,20931
Golf6,4,PRRR,33,4,34,3,20931
Golf6,4,PRRR,34,1,53,1,21656
Golf6,4,PRRR,34,2,26,2,21656
Golf6,4,PRRR,34,3,25,3,21656
Golf6,4,PRRR,34,4,24,4,21656
Golf6,4,PRRR,35,1,57,1,28710
Golf6,4,PRRR,35,2,32,3,28710
Golf6,4,PRRR,35,3,43,2,28710
Golf6,4,PRRR,35,4,18,4,28710
Golf6,4,PRRR,36,1,59,1,28644
Golf6,4,PRRR,36,2,45,2,28644
Golf6,4,PRRR,36,3,25,4,28644
Golf6,4,PRRR,36,4,38,3,28644
Golf6,4,PRRR,37,1,45,1,27201
Golf6,4,PRRR,37,2,35,3,27201
Golf6,4,PRRR,37,3,37,2,27201
Golf6,4,PRRR,37,4,28,4,27201
Golf6,4,PRRR,38,1,52,2,30182
Golf6,4,PRRR,38,2,49,3,30182
Golf6,4,PRRR,38,3,30,4,30182
Golf6,4,PRRR,38,4,57,1,30182
Golf6,4,PRRR,39,1,58,1,32532
Golf6,4,PRRR,39,2,32,4,32532
Golf6,4,PRRR,39,3,35,3,32532
Golf6,4,PRRR,39,4,41,2,32532
Golf6,4,PRRR,40,1,53,2,25701
Golf6,4,PRRR,40,2,57,1,25701
Golf6,4,PRRR,40,3,36,3,25701
Golf6,4,PRRR,40,4,30,4,25701
Golf6,4,PRRR,41,1,56,2,21438
Golf6,4,PRRR,41,2,37,3,21438
Golf6,4,PRRR,41,3,29,4,21438
Golf6,4,PRRR,41,4,57,1,21438
Golf6,4,PRRR,42,1,54,1,26645
Golf6,4,PRRR,42,2,38,3,26645
Golf6,4,PRRR,42,3,35,4,26645
Golf6,4,PRRR,42,4,41,2,26645
Golf6,4,PRRR,43,1,51,1,22513
Golf6,4,PRRR,43,2,30,4,22513
Golf6,4,PRRR,43,3,43,3,22513
Golf6,4,PRRR,43,4,48,2,22513
Golf6,4,PRRR,44,1,61,1,25465
Golf6,4,PRRR,44,2,31,3,25465
Golf6,4,PRRR,44,3,40,2,25465
Golf6,4,PRRR,44,4,29,4,25465
Golf6,4,PRRR,45,1,54,1,36161
Golf6,4,PRRR,45,2,34,4,36161
Golf6,4,PRRR,45,3,35,3,36161
Golf6,4,PRRR,45,4,49,2,36161
Golf6,4,PRRR,46,1,47,1,29871
Golf6,4,PRRR,46,2,35,3,29871
Golf6,4,PRRR,46,3,23,4,29871
Golf6,4,PRRR,46,4,43,2,29871
Golf6,4,PRRR,47,1,44,2,31882
Golf6,4,PRRR,47,2,38,3,31882
Golf6,4,PRRR,47,3,13,4,31882
Golf6,4,PRRR,47,4,54,1,31882
Golf6,4,PRRR,48,1,56,1,28169
Golf6,4,PRRR,48,2,55,2,28169
Golf6,4,PRRR,48,3,25,4,28169
Golf6,4,PRRR,48,4,39,3,28169
Golf6,4,PRRR,49,1,55,1,24732
Golf6,4,PRRR,49,2,33,4,24732
Golf6,4,PRRR,49,3,45,2,24732
Golf6,4,PRRR,49,4,39,3,24732
Golf6,4,PRRR,50,1,43,1,23594
Golf6,4,PRRR,50,2,24,4,23594
Golf6,4,PRRR,50,3,31,2,23594
Golf6,4,PRRR,50,4,27,3,23594
Golf6,4,PRRR,51,1,46,1,21842
Golf6,4,PRRR,51,2,42,2,21842
Golf6,4,PRRR,51,3,31,3,21842
Golf6,4,PRRR,51,4,27,4,21842
Golf6,4,PRRR,52,1,60,1,31767
Golf6,4,PRRR,52,2,38,3,31767
Golf6,4,PRRR,52,3,47,2,31767
Golf6,4,PRRR,52,4,36,4,31767
Golf6,4,PRRR,53,1,52,1,33613
Golf6,4,PRRR,53,2,50,2,33613
Golf6,4,PRRR,53,3,25,3,33613
Golf6,4,PRRR,53,4,23,4,33613
Golf6,4,PRRR,54,1,50,1,21659
Golf6,4,PRRR,54,2,40,3,21659
Golf6,4,PRRR,54,3,48,2,21659
Golf6,4,PRRR,54,4,25,4,21659
Golf6,4,PRRR,55,1,61,1,21842
Golf6,4,PRRR,55,2,37,3,21842
Golf6,4,PRRR,55,3,56,2,21842
Golf6,4,PRRR,55,4,37,3,21842
Golf6,4,PRRR,56,1,60,1,22531
Golf6,4,PRRR,56,2,32,3,22531
Golf6,4,PRRR,56,3,34,2,22531
Golf6,4,PRRR,56,4,30,4,22531
Golf6,4,PRRR,57,1,53,1,33375
Golf6,4,PRRR,57,2,31,4,33375
Golf6,4,PRRR,57,3,49,2,33375
Golf6,4,PRRR,57,4,45,3,33375
Golf6,4,PRRR,58,1,54,1,29351
Golf6,4,PRRR,58,2,24,4,29351
Golf6,4,PRRR,58,3,37,2,29351
Golf6,4,PRRR,58,4,32,3,29351
Golf6,4,PRRR,59,1,56,1,34951
Golf6,4,PRRR,59,2,29,3,34951
Golf6,4,PRRR,59,3,16,4,34951
Golf6,4,PRRR,59,4,39,2,34951
Golf6,4,PRRR,60,1,56,1,31839
Golf6,4,PRRR,60,2,53,2,31839
Golf6,4,PRRR,60,3,37,3,31839
Golf6,4,PRRR,60,4,29,4,31839
Golf6,4,PRRR,61,1,53,2,32118
Golf6,4,PRRR,61,2,37,3,32118
Golf6,4,PRRR,61,3,32,4,32118
Golf6,4,PRRR,61,4,57,1,32118
Golf6,4,PRRR,62,1,49,1,23542
Golf6,4,PRRR,62,2,31,3,23542
Golf6,4,PRRR,62,3,28,4,23542
Golf6,4,PRRR,62,4,36,2,23542
Golf6,4,PRRR,63,1,54,1,25429
Golf6,4,PRRR,63,2,29,4,25429
Golf6,4,PRRR,63,3,30,3,25429
Golf6,4,PRRR,63,4,51,2,25429
Golf6,4,PRRR,64,1,51,2,23000
Golf6,4,PRRR,64,2,41,3,23000
Golf6,4,PRRR,64,3,55,1,23000
Golf6,4,PRRR,64,4,23,4,23000
Golf6,4,PRRR,65,1,57,1,21370
Golf6,4,PRRR,65,2,24,4,21370
Golf6,4,PRRR,65,3,48,2,21370
Golf6,4,PRRR,65,4,44,3,21370
Golf6,4,PRRR,66,1,47,2,22640
Golf6,4,PRRR,66,2,36,3,22640
Golf6,4,PRRR,66,3,16,4,22640
Golf6,4,PRRR,66,4,48,1,22640
Golf6,4,PRRR,67,1,63,1,30726
Golf6,4,PRRR,67,2,25,4,30726
Golf6,4,PRRR,67,3,31,3,30726
Golf6,4,PRRR,67,4,43,2,30726
Golf6,4,PRRR,68,1,53,2,21450
Golf6,4,PRRR,68,2,39,3,21450
Golf6,4,PRRR,68,3,28,4,21450
Golf6,4,PRRR,68,4,57,1,21450
Golf6,4,PRRR,69,1,53,2,26455
Golf6,4,PRRR,69,2,50,3,26455
Golf6,4,PRRR,69,3,55,1,26455
Golf6,4,PRRR,69,4,25,4,26455
Golf6,4,PRRR,70,1,53,1,26664
Golf6,4,PRRR,70,2,22,4,26664
Golf6,4,PRRR,70,3,42,2,26664
Golf6,4,PRRR,70,4,40,3,26664
Golf6,4,PRRR,71,1,57,1,22161
Golf6,4,PRRR,71,2,31,4,22161
Golf6,4,PRRR,71,3,50,2,22161
Golf6,4,PRRR,71,4,46,3,22161
Golf6,4,PRRR,72,1,60,1,21289
Golf6,4,PRRR,72,2,18,4,21289
Golf6,4,PRRR,72,3,23,3,21289
Golf6,4,PRRR,72,4,32,2,21289
Golf6,4,PRRR,73,1,57,1,22166
Golf6,4,PRRR,73,2,53,2,22166
Golf6,4,PRRR,73,3,29,4,22166
Golf6,4,PRRR,73,4,40,3,22166
Golf6,4,PRRR,74,1,57,1,21633
Golf6,4,PRRR,74,2,36,3,21633
Golf6,4,PRRR,74,3,41,2,21633
Golf6,4,PRRR,74,4,28,4,21633
Golf6,4,PRRR,75,1,57,1,26188
Golf6,4,PRRR,75,2,37,3,26188
Golf6,4,PRRR,75,3,50,2,26188
Golf6,4,PRRR,75,4,17,4,26188
Golf6,4,PRRR,76,1,53,1,27343
Golf6,4,PRRR,76,2,42,2,27343
Golf6,4,PRRR,76,3,35,3,27343
Golf6,4,PRRR,76,4,23,4,27343
Golf6,4,PRRR,77,1,62,1,28757
Golf6,4,PRRR,77,2,42,2,28757
Golf6,4,PRRR,77,3,41,3,28757
Golf6,4,PRRR,77,4,38,4,28757
Golf6,4,PRRR,78,1,50,1,21595
Golf6,4,PRRR,78,2,34,2,21595
Golf6,4,PRRR,78,3,33,3,21595
Golf6,4,PRRR,78,4,30,4,21595
Golf6,4,PRRR,79,1,51,1,27254
Golf6,4,PRRR,79,2,30,3,27254
Golf6,4,PRRR,79,3,27,4,27254
Golf6,4,PRRR,79,4,41,2,27254
Golf6,4,PRRR,80,1,50,1,24359
Golf6,4,PRRR,80,2,14,4,24359
