game,numPlayers,ai,run,move,player,choices,choice,time
Golf6,4,RRRR,1,1,1,6,5,0
Golf6,4,RRRR,1,2,1,5,5,0
Golf6,4,RRRR,1,3,2,6,5,0
Golf6,4,RRRR,1,4,2,5,2,0
Golf6,4,RRRR,1,5,3,6,5,0
Golf6,4,RRRR,1,6,3,5,5,0
Golf6,4,RRRR,1,7,4,6,4,0
Golf6,4,RRRR,1,8,4,5,5,0
Golf6,4,RRRR,1,9,1,2,2,0
Golf6,4,RRRR,1,10,1,7,3,0
Golf6,4,RRRR,1,11,2,2,2,0
Golf6,4,RRRR,1,12,2,7,4,0
Golf6,4,RRRR,1,13,3,2,2,0
Golf6,4,RRRR,1,14,3,7,3,0
Golf6,4,RRRR,1,15,4,2,1,0
Golf6,4,RRRR,1,16,4,6,4,0
Golf6,4,RRRR,1,17,1,2,2,0
Golf6,4,RRRR,1,18,1,7,7,0
Golf6,4,RRRR,1,19,2,2,2,0
Golf6,4,RRRR,1,20,2,7,7,0
Golf6,4,RRRR,1,21,3,2,1,0
Golf6,4,RRRR,1,22,3,6,5,0
Golf6,4,RRRR,1,23,4,2,2,0
Golf6,4,RRRR,1,24,4,7,5,0
Golf6,4,RRRR,1,25,1,2,2,0
Golf6,4,RRRR,1,26,1,7,4,0
Golf6,4,RRRR,1,27,2,2,1,0
Golf6,4,RRRR,1,28,2,6,1,0
Golf6,4,RRRR,1,29,3,2,1,0
Golf6,4,RRRR,1,30,3,6,1,0
Golf6,4,RRRR,1,31,4,2,1,0
Golf6,4,RRRR,1,32,4,6,6,0
Golf6,4,RRRR,1,33,1,2,1,0
Golf6,4,RRRR,1,34,1,6,2,0
Golf6,4,RRRR,1,35,2,2,1,0
Golf6,4,RRRR,1,36,2,6,2,0
Golf6,4,RRRR,1,37,3,2,2,0
Golf6,4,RRRR,1,38,3,7,6,0
Golf6,4,RRRR,1,39,4,2,1,0
Golf6,4,RRRR,1,40,4,6,4,0
Golf6,4,RRRR,1,41,1,2,1,0
Golf6,4,RRRR,1,42,1,6,4,0
Golf6,4,RRRR,1,43,2,2,1,0
Golf6,4,RRRR,1,44,2,6,5,0
Golf6,4,RRRR,1,45,3,2,1,0
Golf6,4,RRRR,1,46,3,6,5,0
Golf6,4,RRRR,1,47,4,2,2,0
Golf6,4,RRRR,1,48,4,7,2,0
Golf6,4,RRRR,1,49,1,2,2,0
Golf6,4,RRRR,1,50,1,7,4,0
Golf6,4,RRRR,1,51,2,2,2,0
Golf6,4,RRRR,1,52,2,7,6,0
Golf6,4,RRRR,1,53,3,2,2,0
Golf6,4,RRRR,1,54,3,7,7,0
Golf6,4,RRRR,1,55,4,2,2,0
Golf6,4,RRRR,1,56,4,7,4,0
Golf6,4,RRRR,1,57,1,2,2,0
Golf6,4,RRRR,1,58,1,7,5,0
Golf6,4,RRRR,1,59,2,2,2,0
Golf6,4,RRRR,1,60,2,7,1,0
Golf6,4,RRRR,1,61,3,2,2,0
Golf6,4,RRRR,1,62,3,7,7,0
Golf6,4,RRRR,1,63,4,2,2,0
Golf6,4,RRRR,1,64,4,7,5,0
Golf6,4,RRRR,1,65,1,2,2,0
Golf6,4,RRRR,1,66,1,7,4,0
Golf6,4,RRRR,1,67,2,2,2,0
Golf6,4,RRRR,1,68,2,7,5,0
Golf6,4,RRRR,2,1,1,6,6,0
Golf6,4,RRRR,2,2,1,5,4,0
Golf6,4,RRRR,2,3,2,6,6,0
Golf6,4,RRRR,2,4,2,5,2,0
Golf6,4,RRRR,2,5,3,6,2,0
Golf6,4,RRRR,2,6,3,5,5,0
Golf6,4,RRRR,2,7,4,6,1,0
Golf6,4,RRRR,2,8,4,5,3,0
Golf6,4,RRRR,2,9,1,2,1,0
Golf6,4,RRRR,2,10,1,6,4,0
Golf6,4,RRRR,2,11,2,2,1,0
Golf6,4,RRRR,2,12,2,6,2,0
Golf6,4,RRRR,2,13,3,2,2,0
Golf6,4,RRRR,2,14,3,7,3,0
Golf6,4,RRRR,2,15,4,2,2,0
Golf6,4,RRRR,2,16,4,7,4,0
Golf6,4,RRRR,2,17,1,2,2,0
Golf6,4,RRRR,2,18,1,7,6,0
Golf6,4,RRRR,2,19,2,2,2,0
Golf6,4,RRRR,2,20,2,7,4,0
Golf6,4,RRRR,2,21,3,2,2,0
Golf6,4,RRRR,2,22,3,7,7,0
