game,numPlayers,ai,run,player,score,rank,time
Golf6,4,RRRR,1,1,40,1,3423
Golf6,4,RRRR,1,2,25,3,3423
Golf6,4,RRRR,1,3,21,4,3423
Golf6,4,RRRR,1,4,28,2,3423
Golf6,4,RRRR,2,1,47,1,3458
Golf6,4,RRRR,2,2,37,3,3458
Golf6,4,RRRR,2,3,34,4,3458
Golf6,4,RRRR,2,4,38,2,3458
Golf6,4,RRRR,3,1,41,3,3014
Golf6,4,RRRR,3,2,53,2,3014
Golf6,4,RRRR,3,3,19,4,3014
Golf6,4,RRRR,3,4,55,1,3014
Golf6,4,RRRR,4,1,38,2,3083
Golf6,4,RRRR,4,2,37,3,3083
Golf6,4,RRRR,4,3,45,1,3083
Golf6,4,RRRR,4,4,14,4,3083
Golf6,4,RRRR,5,1,28,3,3803
Golf6,4,RRRR,5,2,18,4,3803
Golf6,4,RRRR,5,3,30,2,3803
Golf6,4,RRRR,5,4,45,1,3803
Golf6,4,RRRR,6,1,31,4,2814
Golf6,4,RRRR,6,2,39,2,2814
Golf6,4,RRRR,6,3,41,1,2814
Golf6,4,RRRR,6,4,34,3,2814
Golf6,4,RRRR,7,1,35,3,3773
Golf6,4,RRRR,7,2,30,4,3773
Golf6,4,RRRR,7,3,51,2,3773
Golf6,4,RRRR,7,4,52,1,3773
Golf6,4,RRRR,8,1,21,4,2975
Golf6,4,RRRR,8,2,45,1,2975
Golf6,4,RRRR,8,3,32,3,2975
Golf6,4,RRRR,8,4,44,2,2975
Golf6,4,RRRR,9,1,57,1,3151
Golf6,4,RRRR,9,2,34,4,3151
Golf6,4,RRRR,9,3,45,2,3151
Golf6,4,RRRR,9,4,44,3,3151
Golf6,4,RRRR,10,1,28,3,3444
Golf6,4,RRRR,10,2,21,4,3444
Golf6,4,RRRR,10,3,43,2,3444
Golf6,4,RRRR,10,4,50,1,3444
Golf6,4,RRRR,11,1,53,1,3356
Golf6,4,RRRR,11,2,52,2,3356
Golf6,4,RRRR,11,3,39,3,3356
Golf6,4,RRRR,11,4,19,4,3356
Golf6,4,RRRR,12,1,36,3,3177
Golf6,4,RRRR,12,2,43,2,3177
Golf6,4,RRRR,12,3,53,1,3177
Golf6,4,RRRR,12,4,30,4,3177
Golf6,4,RRRR,13,1,45,2,3567
Golf6,4,RRRR,13,2,29,4,3567
Golf6,4,RRRR,13,3,48,1,3567
Golf6,4,RRRR,13,4,41,3,3567
Golf6,4,RRRR,14,1,35,3,3043
Golf6,4,RRRR,14,2,15,4,3043
Golf6,4,RRRR,14,3,37,2,3043
Golf6,4,RRRR,14,4,57,1,3043
Golf6,4,RRRR,15,1,29,3,3230
Golf6,4,RRRR,15,2,16,4,3230
Golf6,4,RRRR,15,3,31,2,3230
Golf6,4,RRRR,15,4,54,1,3230
Golf6,4,RRRR,16,1,44,2,3735
Golf6,4,RRRR,16,2,46,1,3735
Golf6,4,RRRR,16,3,28,3,3735
Golf6,4,RRRR,16,4,14,4,3735
Golf6,4,RRRR,17,1,22,3,3577
Golf6,4,RRRR,17,2,54,1,3577
Golf6,4,RRRR,17,3,42,2,3577
Golf6,4,RRRR,17,4,20,4,3577
Golf6,4,RRRR,18,1,44,2,3736
Golf6,4,RRRR,18,2,64,1,3736
Golf6,4,RRRR,18,3,36,3,3736
Golf6,4,RRRR,18,4,36,3,3736
Golf6,4,RRRR,19,1,22,4,3587
Golf6,4,RRRR,19,2,40,2,3587
Golf6,4,RRRR,19,3,41,1,3587
Golf6,4,RRRR,19,4,37,3,3587
Golf6,4,RRRR,20,1,46,1,3269
Golf6,4,RRRR,20,2,36,2,3269
Golf6,4,RRRR,20,3,29,4,3269
Golf6,4,RRRR,20,4,36,2,3269
Golf6,4,RRRR,21,1,16,4,3214
Golf6,4,RRRR,21,2,21,3,3214
Golf6,4,RRRR,21,3,25,2,3214
Golf6,4,RRRR,21,4,41,1,3214
Golf6,4,RRRR,22,1,38,2,3193
Golf6,4,RRRR,22,2,22,4,3193
Golf6,4,RRRR,22,3,46,1,3193
Golf6,4,RRRR,22,4,37,3,3193
Golf6,4,RRRR,23,1,23,3,3371
Golf6,4,RRRR,23,2,32,1,3371
Golf6,4,RRRR,23,3,32,1,3371
Golf6,4,RRRR,23,4,20,4,3371
Golf6,4,RRRR,24,1,43,3,3291
Golf6,4,RRRR,24,2,24,4,3291
Golf6,4,RRRR,24,3,54,1,3291
Golf6,4,RRRR,24,4,53,2,3291
Golf6,4,RRRR,25,1,40,3,2931
Golf6,4,RRRR,25,2,39,4,2931
Golf6,4,RRRR,25,3,46,2,2931
Golf6,4,RRRR,25,4,59,1,2931
Golf6,4,RRRR,26,1,46,2,3076
Golf6,4,RRRR,26,2,50,1,3076
Golf6,4,RRRR,26,3,38,4,3076
Golf6,4,RRRR,26,4,39,3,3076
Golf6,4,RRRR,27,1,27,4,3458
Golf6,4,RRRR,27,2,50,1,3458
Golf6,4,RRRR,27,3,44,2,3458
Golf6,4,RRRR,27,4,29,3,3458
Golf6,4,RRRR,28,1,28,4,3220
Golf6,4,RRRR,28,2,38,2,3220
Golf6,4,RRRR,28,3,32,3,3220
Golf6,4,RRRR,28,4,46,1,3220
Golf6,4,RRRR,29,1,21,2,3132
Golf6,4,RRRR,29,2,20,3,3132
Golf6,4,RRRR,29,3,44,1,3132
Golf6,4,RRRR,29,4,19,4,3132
Golf6,4,RRRR,30,1,49,1,3057
Golf6,4,RRRR,30,2,26,4,3057
Golf6,4,RRRR,30,3,40,2,3057
Golf6,4,RRRR,30,4,35,3,3057
Golf6,4,RRRR,31,1,39,2,3166
Golf6,4,RRRR,31,2,37,3,3166
Golf6,4,RRRR,31,3,32,4,3166
Golf6,4,RRRR,31,4,56,1,3166
Golf6,4,RRRR,32,1,24,4,3087
Golf6,4,RRRR,32,2,34,3,3087
Golf6,4,RRRR,32,3,35,2,3087
Golf6,4,RRRR,32,4,39,1,3087
Golf6,4,RRRR,33,1,38,2,3240
Golf6,4,RRRR,33,2,49,1,3240
Golf6,4,RRRR,33,3,37,3,3240
Golf6,4,RRRR,33,4,33,4,3240
Golf6,4,RRRR,34,1,42,1,3400
Golf6,4,RRRR,34,2,11,4,3400
Golf6,4,RRRR,34,3,42,1,3400
Golf6,4,RRRR,34,4,31,3,3400
Golf6,4,RRRR,35,1,35,4,2935
Golf6,4,RRRR,35,2,39,3,2935
Golf6,4,RRRR,35,3,41,2,2935
Golf6,4,RRRR,35,4,45,1,2935
Golf6,4,RRRR,36,1,42,3,3165
Golf6,4,RRRR,36,2,43,2,3165
Golf6,4,RRRR,36,3,38,4,3165
Golf6,4,RRRR,36,4,47,1,3165
Golf6,4,RRRR,37,1,38,2,3167
Golf6,4,RRRR,37,2,33,3,3167
Golf6,4,RRRR,37,3,54,1,3167
Golf6,4,RRRR,37,4,24,4,3167
Golf6,4,RRRR,38,1,34,3,3303
Golf6,4,RRRR,38,2,33,4,3303
Golf6,4,RRRR,38,3,45,1,3303
Golf6,4,RRRR,38,4,36,2,3303
Golf6,4,RRRR,39,1,27,1,3566
Golf6,4,RRRR,39,2,11,4,3566
Golf6,4,RRRR,39,3,23,3,3566
Golf6,4,RRRR,39,4,27,1,3566
Golf6,4,RRRR,40,1,33,2,3364
Golf6,4,RRRR,40,2,28,3,3364
Golf6,4,RRRR,40,3,40,1,3364
Golf6,4,RRRR,40,4,10,4,3364
Golf6,4,RRRR,41,1,17,4,2953
Golf6,4,RRRR,41,2,35,2,2953
Golf6,4,RRRR,41,3,39,1,2953
