game,numPlayers,ai,run,move,player,choices,choice,time
Leduc Holdem,2,PR,1,1,1,3,1,15
Leduc Holdem,2,PR,1,2,2,3,2,0
Leduc Holdem,2,PR,1,3,1,3,2,14
Leduc Holdem,2,PR,1,4,2,2,1,0
Leduc Holdem,2,PR,1,5,1,3,2,12
Leduc Holdem,2,PR,1,6,2,3,1,0
Leduc Holdem,2,PR,2,1,1,3,1,14
Leduc Holdem,2,PR,2,2,2,3,3,0
Leduc Holdem,2,PR,3,1,1,3,1,14
Leduc Holdem,2,PR,3,2,2,3,3,0
Leduc Holdem,2,PR,4,1,1,3,1,14
Leduc Holdem,2,PR,4,2,2,3,3,0
Leduc Holdem,2,PR,5,1,1,3,1,15
Leduc Holdem,2,PR,5,2,2,3,1,0
Leduc Holdem,2,PR,5,3,1,3,1,12
Leduc Holdem,2,PR,5,4,2,3,3,0
Leduc Holdem,2,PR,6,1,1,3,1,14
Leduc Holdem,2,PR,6,2,2,3,1,0
Leduc Holdem,2,PR,6,3,1,3,2,12
Leduc Holdem,2,PR,6,4,2,3,2,0
Leduc Holdem,2,PR,6,5,1,2,1,6
Leduc Holdem,2,PR,7,1,1,3,1,14
Leduc Holdem,2,PR,7,2,2,3,3,0
Leduc Holdem,2,PR,8,1,1,3,1,14
Leduc Holdem,2,PR,8,2,2,3,3,0
Leduc Holdem,2,PR,9,1,1,3,1,14
Leduc Holdem,2,PR,9,2,2,3,1,0
Leduc Holdem,2,PR,9,3,1,3,1,12
Leduc Holdem,2,PR,9,4,2,3,1,0
Leduc Holdem,2,PR,10,1,1,3,1,14
Leduc Holdem,2,PR,10,2,2,3,1,0
Leduc Holdem,2,PR,10,3,1,3,1,12
Leduc Holdem,2,PR,10,4,2,3,2,0
Leduc Holdem,2,PR,10,5,1,3,2,9
Leduc Holdem,2,PR,10,6,2,2,1,0
Leduc Holdem,2,PR,11,1,1,3,1,14
Leduc Holdem,2,PR,11,2,2,3,2,0
Leduc Holdem,2,PR,11,3,1,3,2,14
Leduc Holdem,2,PR,11,4,2,2,2,0
Leduc Holdem,2,PR,12,1,1,3,1,15
Leduc Holdem,2,PR,12,2,2,3,1,0
Leduc Holdem,2,PR,12,3,1,3,2,11
Leduc Holdem,2,PR,12,4,2,3,2,0
Leduc Holdem,2,PR,12,5,1,2,1,6
Leduc Holdem,2,PR,13,1,1,3,1,14
Leduc Holdem,2,PR,13,2,2,3,2,0
Leduc Holdem,2,PR,13,3,1,3,2,13
Leduc Holdem,2,PR,13,4,2,2,1,0
Leduc Holdem,2,PR,13,5,1,3,1,12
Leduc Holdem,2,PR,13,6,2,3,2,0
Leduc Holdem,2,PR,13,7,1,3,2,9
Leduc Holdem,2,PR,13,8,2,2,2,0
Leduc Holdem,2,PR,14,1,1,3,1,14
Leduc Holdem,2,PR,14,2,2,3,1,0
Leduc Holdem,2,PR,14,3,1,3,2,12
Leduc Holdem,2,PR,14,4,2,3,2,0
Leduc Holdem,2,PR,14,5,1,2,1,6
Leduc Holdem,2,PR,15,1,1,3,1,14
Leduc Holdem,2,PR,15,2,2,3,2,0
Leduc Holdem,2,PR,15,3,1,3,2,14
Leduc Holdem,2,PR,15,4,2,2,1,0
Leduc Holdem,2,PR,15,5,1,3,1,12
Leduc Holdem,2,PR,15,6,2,3,1,0
Leduc Holdem,2,PR,16,1,1,3,1,15
Leduc Holdem,2,PR,16,2,2,3,1,0
Leduc Holdem,2,PR,16,3,1,3,2,12
Leduc Holdem,2,PR,16,4,2,3,3,0
Leduc Holdem,2,PR,17,1,1,3,1,15
Leduc Holdem,2,PR,17,2,2,3,2,0
Leduc Holdem,2,PR,17,3,1,3,2,14
Leduc Holdem,2,PR,17,4,2,2,1,0
Leduc Holdem,2,PR,17,5,1,3,1,12
Leduc Holdem,2,PR,17,6,2,3,3,0
Leduc Holdem,2,PR,18,1,1,3,1,14
Leduc Holdem,2,PR,18,2,2,3,1,0
Leduc Holdem,2,PR,18,3,1,3,2,11
Leduc Holdem,2,PR,18,4,2,3,1,0
Leduc Holdem,2,PR,19,1,1,3,1,14
Leduc Holdem,2,PR,19,2,2,3,3,0
Leduc Holdem,2,PR,20,1,1,3,1,15
Leduc Holdem,2,PR,20,2,2,3,1,0
Leduc Holdem,2,PR,20,3,1,3,2,12
Leduc Holdem,2,PR,20,4,2,3,3,0
Leduc Holdem,2,PR,21,1,1,3,1,14
