game,numPlayers,ai,run,player,score,rank,time
Leduc Holdem,2,PR,1,1,9,1,45
Leduc Holdem,2,PR,1,2,-9,2,45
Leduc Holdem,2,PR,2,1,1,1,16
Leduc Holdem,2,PR,2,2,-1,2,16
Leduc Holdem,2,PR,3,1,1,1,16
Leduc Holdem,2,PR,3,2,-1,2,16
Leduc Holdem,2,PR,4,1,1,1,16
Leduc Holdem,2,PR,4,2,-1,2,16
Leduc Holdem,2,PR,5,1,1,1,30
Leduc Holdem,2,PR,5,2,-1,2,30
Leduc Holdem,2,PR,6,1,9,1,37
Leduc Holdem,2,PR,6,2,-9,2,37
Leduc Holdem,2,PR,7,1,1,1,16
Leduc Holdem,2,PR,7,2,-1,2,16
Leduc Holdem,2,PR,8,1,1,1,16
Leduc Holdem,2,PR,8,2,-1,2,16
Leduc Holdem,2,PR,9,1,0,1,30
Leduc Holdem,2,PR,9,2,0,1,30
Leduc Holdem,2,PR,10,1,0,1,40
Leduc Holdem,2,PR,10,2,0,1,40
Leduc Holdem,2,PR,11,1,3,1,31
Leduc Holdem,2,PR,11,2,-3,2,31
Leduc Holdem,2,PR,12,1,9,1,37
Leduc Holdem,2,PR,12,2,-9,2,37
Leduc Holdem,2,PR,13,1,9,1,53
Leduc Holdem,2,PR,13,2,-9,2,53
Leduc Holdem,2,PR,14,1,9,1,36
Leduc Holdem,2,PR,14,2,-9,2,36
Leduc Holdem,2,PR,15,1,-5,2,45
Leduc Holdem,2,PR,15,2,5,1,45
Leduc Holdem,2,PR,16,1,1,1,29
Leduc Holdem,2,PR,16,2,-1,2,29
Leduc Holdem,2,PR,17,1,5,1,44
Leduc Holdem,2,PR,17,2,-5,2,44
Leduc Holdem,2,PR,18,1,5,1,30
Leduc Holdem,2,PR,18,2,-5,2,30
Leduc Holdem,2,PR,19,1,1,1,16
Leduc Holdem,2,PR,19,2,-1,2,16
Leduc Holdem,2,PR,20,1,1,1,30
Leduc Holdem,2,PR,20,2,-1,2,30
Leduc Holdem,2,PR,21,1,1,1,16
Leduc Holdem,2,PR,21,2,-1,2,16
Leduc Holdem,2,PR,22,1,13,1,52
Leduc Holdem,2,PR,22,2,-13,2,52
Leduc Holdem,2,PR,23,1,1,1,30
Leduc Holdem,2,PR,23,2,-1,2,30
Leduc Holdem,2,PR,24,1,5,1,45
Leduc Holdem,2,PR,24,2,-5,2,45
Leduc Holdem,2,PR,25,1,1,1,29
Leduc Holdem,2,PR,25,2,-1,2,29
Leduc Holdem,2,PR,26,1,5,1,31
Leduc Holdem,2,PR,26,2,-5,2,31
Leduc Holdem,2,PR,27,1,1,1,16
Leduc Holdem,2,PR,27,2,-1,2,16
Leduc Holdem,2,PR,28,1,1,1,16
Leduc Holdem,2,PR,28,2,-1,2,16
Leduc Holdem,2,PR,29,1,5,1,31
Leduc Holdem,2,PR,29,2,-5,2,31
Leduc Holdem,2,PR,30,1,1,1,16
Leduc Holdem,2,PR,30,2,-1,2,16
Leduc Holdem,2,PR,31,1,3,1,31
Leduc Holdem,2,PR,31,2,-3,2,31
Leduc Holdem,2,PR,32,1,1,1,16
Leduc Holdem,2,PR,32,2,-1,2,16
Leduc Holdem,2,PR,33,1,1,1,29
Leduc Holdem,2,PR,33,2,-1,2,29
Leduc Holdem,2,PR,34,1,5,1,43
Leduc Holdem,2,PR,34,2,-5,2,43
Leduc Holdem,2,PR,35,1,1,1,16
Leduc Holdem,2,PR,35,2,-1,2,16
Leduc Holdem,2,PR,36,1,13,1,56
Leduc Holdem,2,PR,36,2,-13,2,56
Leduc Holdem,2,PR,37,1,1,1,16
Leduc Holdem,2,PR,37,2,-1,2,16
Leduc Holdem,2,PR,38,1,1,1,16
Leduc Holdem,2,PR,38,2,-1,2,16
Leduc Holdem,2,PR,39,1,3,1,30
Leduc Holdem,2,PR,39,2,-3,2,30
Leduc Holdem,2,PR,40,1,-1,2,39
Leduc Holdem,2,PR,40,2,1,1,39
Leduc Holdem,2,PR,41,1,1,1,30
Leduc Holdem,2,PR,41,2,-1,2,30
Leduc Holdem,2,PR,42,1,-1,2,31
Leduc Holdem,2,PR,42,2,1,1,31
Leduc Holdem,2,PR,43,1,3,1,31
Leduc Holdem,2,PR,43,2,-3,2,31
Leduc Holdem,2,PR,44,1,9,1,57
Leduc Holdem,2,PR,44,2,-9,2,57
Leduc Holdem,2,PR,45,1,1,1,17
Leduc Holdem,2,PR,45,2,-1,2,17
Leduc Holdem,2,PR,46,1,1,1,17
Leduc Holdem,2,PR,46,2,-1,2,17
Leduc Holdem,2,PR,47,1,1,1,17
Leduc Holdem,2,PR,47,2,-1,2,17
Leduc Holdem,2,PR,48,1,1,1,16
Leduc Holdem,2,PR,48,2,-1,2,16
Leduc Holdem,2,PR,49,1,13,1,52
Leduc Holdem,2,PR,49,2,-13,2,52
Leduc Holdem,2,PR,50,1,9,1,53
Leduc Holdem,2,PR,50,2,-9,2,53
Leduc Holdem,2,PR,51,1,1,1,16
Leduc Holdem,2,PR,51,2,-1,2,16
Leduc Holdem,2,PR,52,1,1,1,16
Leduc Holdem,2,PR,52,2,-1,2,16
Leduc Holdem,2,PR,53,1,1,1,29
Leduc Holdem,2,PR,53,2,-1,2,29
Leduc Holdem,2,PR,54,1,1,1,26
Leduc Holdem,2,PR,54,2,-1,2,26
Leduc Holdem,2,PR,55,1,1,1,16
Leduc Holdem,2,PR,55,2,-1,2,16
Leduc Holdem,2,PR,56,1,1,1,16
Leduc Holdem,2,PR,56,2,-1,2,16
Leduc Holdem,2,PR,57,1,0,1,37
Leduc Holdem,2,PR,57,2,0,1,37
Leduc Holdem,2,PR,58,1,0,1,54
Leduc Holdem,2,PR,58,2,0,1,54
Leduc Holdem,2,PR,59,1,1,1,16
Leduc Holdem,2,PR,59,2,-1,2,16
Leduc Holdem,2,PR,60,1,3,1,31
Leduc Holdem,2,PR,60,2,-3,2,31
Leduc Holdem,2,PR,61,1,1,1,16
Leduc Holdem,2,PR,61,2,-1,2,16
Leduc Holdem,2,PR,62,1,1,1,16
Leduc Holdem,2,PR,62,2,-1,2,16
Leduc Holdem,2,PR,63,1,0,1,30
Leduc Holdem,2,PR,63,2,0,1,30
Leduc Holdem,2,PR,64,1,1,1,29
Leduc Holdem,2,PR,64,2,-1,2,29
Leduc Holdem,2,PR,65,1,3,1,30
Leduc Holdem,2,PR,65,2,-3,2,30
Leduc Holdem,2,PR,66,1,3,1,31
Leduc Holdem,2,PR,66,2,-3,2,31
Leduc Holdem,2,PR,67,1,0,1,45
Leduc Holdem,2,PR,67,2,0,1,45
Leduc Holdem,2,PR,68,1,1,1,17
Leduc Holdem,2,PR,68,2,-1,2,17
Leduc Holdem,2,PR,69,1,3,1,30
Leduc Holdem,2,PR,69,2,-3,2,30
Leduc Holdem,2,PR,70,1,1,1,30
Leduc Holdem,2,PR,70,2,-1,2,30
Leduc Holdem,2,PR,71,1,1,1,16
Leduc Holdem,2,PR,71,2,-1,2,16
Leduc Holdem,2,PR,72,1,5,1,44
Leduc Holdem,2,PR,72,2,-5,2,44
Leduc Holdem,2,PR,73,1,0,1,46
Leduc Holdem,2,PR,73,2,0,1,46
Leduc Holdem,2,PR,74,1,9,1,40
Leduc Holdem,2,PR,74,2,-9,2,40
Leduc Holdem,2,PR,75,1,1,1,29
Leduc Holdem,2,PR,75,2,-1,2,29
Leduc Holdem,2,PR,76,1,3,1,31
Leduc Holdem,2,PR,76,2,-3,2,31
Leduc Holdem,2,PR,77,1,3,1,30
Leduc Holdem,2,PR,77,2,-3,2,30
Leduc Holdem,2,PR,78,1,3,1,30
Leduc Holdem,2,PR,78,2,-3,2,30
Leduc Holdem,2,PR,79,1,3,1,31
Leduc Holdem,2,PR,79,2,-3,2,31
