game,numPlayers,ai,run,move,player,choices,choice,time
Leduc Holdem,2,RR,1,1,1,3,1,0
Leduc Holdem,2,RR,1,2,2,3,2,0
Leduc Holdem,2,RR,1,3,1,3,1,0
Leduc Holdem,2,RR,1,4,1,3,2,0
Leduc Holdem,2,RR,1,5,2,3,1,0
Leduc Holdem,2,RR,2,1,1,3,3,0
Leduc Holdem,2,RR,3,1,1,3,2,0
Leduc Holdem,2,RR,3,2,2,3,1,0
Leduc Holdem,2,RR,3,3,1,3,3,0
Leduc Holdem,2,RR,4,1,1,3,2,0
Leduc Holdem,2,RR,4,2,2,3,1,0
Leduc Holdem,2,RR,4,3,1,3,2,0
Leduc Holdem,2,RR,4,4,2,3,3,0
Leduc Holdem,2,RR,5,1,1,3,1,0
Leduc Holdem,2,RR,5,2,2,3,3,0
Leduc Holdem,2,RR,6,1,1,3,3,0
Leduc Holdem,2,RR,7,1,1,3,3,0
Leduc Holdem,2,RR,8,1,1,3,3,0
Leduc Holdem,2,RR,9,1,1,3,3,0
Leduc Holdem,2,RR,10,1,1,3,2,0
Leduc Holdem,2,RR,10,2,2,3,1,0
Leduc Holdem,2,RR,10,3,1,3,3,0
Leduc Holdem,2,RR,11,1,1,3,3,0
Leduc Holdem,2,RR,12,1,1,3,2,0
Leduc Holdem,2,RR,12,2,2,3,1,0
Leduc Holdem,2,RR,12,3,1,3,1,0
Leduc Holdem,2,RR,12,4,2,3,3,0
Leduc Holdem,2,RR,13,1,1,3,2,0
Leduc Holdem,2,RR,13,2,2,3,3,0
Leduc Holdem,2,RR,14,1,1,3,3,0
Leduc Holdem,2,RR,15,1,1,3,1,0
Leduc Holdem,2,RR,15,2,2,3,1,0
Leduc Holdem,2,RR,15,3,1,3,1,0
Leduc Holdem,2,RR,15,4,2,3,2,0
Leduc Holdem,2,RR,15,5,1,3,2,0
Leduc Holdem,2,RR,15,6,2,2,2,0
Leduc Holdem,2,RR,16,1,1,3,2,0
Leduc Holdem,2,RR,16,2,2,3,1,0
Leduc Holdem,2,RR,16,3,1,3,1,0
Leduc Holdem,2,RR,16,4,2,3,1,0
Leduc Holdem,2,RR,17,1,1,3,3,0
Leduc Holdem,2,RR,18,1,1,3,3,0
Leduc Holdem,2,RR,19,1,1,3,1,0
Leduc Holdem,2,RR,19,2,2,3,1,0
Leduc Holdem,2,RR,19,3,1,3,3,0
Leduc Holdem,2,RR,20,1,1,3,1,0
Leduc Holdem,2,RR,20,2,2,3,1,0
Leduc Holdem,2,RR,20,3,1,3,1,0
Leduc Holdem,2,RR,20,4,2,3,2,0
Leduc Holdem,2,RR,20,5,1,3,1,0
Leduc Holdem,2,RR,21,1,1,3,1,0
Leduc Holdem,2,RR,21,2,2,3,3,0
Leduc Holdem,2,RR,22,1,1,3,3,0
Leduc Holdem,2,RR,23,1,1,3,1,0
