game,numPlayers,ai,run,player,score,rank,time
Leduc Holdem,2,RR,1,1,7,1,4
Leduc Holdem,2,RR,1,2,-7,2,4
Leduc Holdem,2,RR,2,1,-1,2,1
Leduc Holdem,2,RR,2,2,1,1,1
Leduc Holdem,2,RR,3,1,-3,2,2
Leduc Holdem,2,RR,3,2,3,1,2
Leduc Holdem,2,RR,4,1,3,1,3
Leduc Holdem,2,RR,4,2,-3,2,3
Leduc Holdem,2,RR,5,1,1,1,1
Leduc Holdem,2,RR,5,2,-1,2,1
Leduc Holdem,2,RR,6,1,-1,2,1
Leduc Holdem,2,RR,6,2,1,1,1
Leduc Holdem,2,RR,7,1,-1,2,1
Leduc Holdem,2,RR,7,2,1,1,1
Leduc Holdem,2,RR,8,1,-1,2,1
Leduc Holdem,2,RR,8,2,1,1,1
Leduc Holdem,2,RR,9,1,-1,2,1
Leduc Holdem,2,RR,9,2,1,1,1
Leduc Holdem,2,RR,10,1,-3,2,2
Leduc Holdem,2,RR,10,2,3,1,2
Leduc Holdem,2,RR,11,1,-1,2,1
Leduc Holdem,2,RR,11,2,1,1,1
Leduc Holdem,2,RR,12,1,3,1,2
Leduc Holdem,2,RR,12,2,-3,2,2
Leduc Holdem,2,RR,13,1,1,1,1
Leduc Holdem,2,RR,13,2,-1,2,1
Leduc Holdem,2,RR,14,1,-1,2,1
Leduc Holdem,2,RR,14,2,1,1,1
Leduc Holdem,2,RR,15,1,5,1,3
Leduc Holdem,2,RR,15,2,-5,2,3
Leduc Holdem,2,RR,16,1,0,1,3
Leduc Holdem,2,RR,16,2,0,1,3
Leduc Holdem,2,RR,17,1,-1,2,1
Leduc Holdem,2,RR,17,2,1,1,1
Leduc Holdem,2,RR,18,1,-1,2,1
Leduc Holdem,2,RR,18,2,1,1,1
Leduc Holdem,2,RR,19,1,-1,2,2
Leduc Holdem,2,RR,19,2,1,1,2
Leduc Holdem,2,RR,20,1,5,1,3
Leduc Holdem,2,RR,20,2,-5,2,3
Leduc Holdem,2,RR,21,1,1,1,1
Leduc Holdem,2,RR,21,2,-1,2,1
Leduc Holdem,2,RR,22,1,-1,2,1
Leduc Holdem,2,RR,22,2,1,1,1
Leduc Holdem,2,RR,23,1,3,1,2
Leduc Holdem,2,RR,23,2,-3,2,2
Leduc Holdem,2,RR,24,1,-1,2,1
Leduc Holdem,2,RR,24,2,1,1,1
Leduc Holdem,2,RR,25,1,-3,2,1
Leduc Holdem,2,RR,25,2,3,1,1
Leduc Holdem,2,RR,26,1,-1,2,1
Leduc Holdem,2,RR,26,2,1,1,1
Leduc Holdem,2,RR,27,1,1,1,1
Leduc Holdem,2,RR,27,2,-1,2,1
Leduc Holdem,2,RR,28,1,-3,2,2
Leduc Holdem,2,RR,28,2,3,1,2
Leduc Holdem,2,RR,29,1,-3,2,1
Leduc Holdem,2,RR,29,2,3,1,1
Leduc Holdem,2,RR,30,1,3,1,2
Leduc Holdem,2,RR,30,2,-3,2,2
Leduc Holdem,2,RR,31,1,-11,2,4
Leduc Holdem,2,RR,31,2,11,1,4
Leduc Holdem,2,RR,32,1,-1,2,1
Leduc Holdem,2,RR,32,2,1,1,1
Leduc Holdem,2,RR,33,1,-3,2,1
Leduc Holdem,2,RR,33,2,3,1,1
Leduc Holdem,2,RR,34,1,1,1,1
Leduc Holdem,2,RR,34,2,-1,2,1
Leduc Holdem,2,RR,35,1,-11,2,4
Leduc Holdem,2,RR,35,2,11,1,4
Leduc Holdem,2,RR,36,1,1,1,1
Leduc Holdem,2,RR,36,2,-1,2,1
Leduc Holdem,2,RR,37,1,1,1,1
Leduc Holdem,2,RR,37,2,-1,2,1
Leduc Holdem,2,RR,38,1,-3,2,2
Leduc Holdem,2,RR,38,2,3,1,2
Leduc Holdem,2,RR,39,1,-1,2,1
Leduc Holdem,2,RR,39,2,1,1,1
Leduc Holdem,2,RR,40,1,3,1,2
Leduc Holdem,2,RR,40,2,-3,2,2
Leduc Holdem,2,RR,41,1,-1,2,2
Leduc Holdem,2,RR,41,2,1,1,2
Leduc Holdem,2,RR,42,1,-13,2,4
Leduc Holdem,2,RR,42,2,13,1,4
Leduc Holdem,2,RR,43,1,-9,2,3
Leduc Holdem,2,RR,43,2,9,1,3
Leduc Holdem,2,RR,44,1,-1,2,1
